"Input","Output","Frequency","VAgreeSurface","*Unraised","ID"
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-RAISED-B","0","","","1"
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-UNRAISED-F","3","1","",""
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-UNRAISED-B","13","","",""
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-RAISED-F","0","1","","1"
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-RAISED-B","0","","","1"
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-UNRAISED-F","0","1","",""
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-UNRAISED-B","4","","",""
"abduweli-NON_RAISER","abduweli-NON_RAISER-RAISED-F","0","1","","1"
"abduweli-NON_RAISER","abduweli-NON_RAISER-RAISED-B","0","","","1"
"abduweli-NON_RAISER","abduweli-NON_RAISER-UNRAISED-F","12","","",""
"abduweli-NON_RAISER","abduweli-NON_RAISER-UNRAISED-B","0","1","",""
"abide-RAISER","abide-RAISER-RAISED-F","79","1","","1"
"abide-RAISER","abide-RAISER-RAISED-B","0","","","1"
"abide-RAISER","abide-RAISER-UNRAISED-F","0","","1",""
"abide-RAISER","abide-RAISER-UNRAISED-B","0","1","1",""
"ablet-NON_RAISER","ablet-NON_RAISER-RAISED-F","0","1","","1"
"ablet-NON_RAISER","ablet-NON_RAISER-RAISED-B","0","","","1"
"ablet-NON_RAISER","ablet-NON_RAISER-UNRAISED-F","4","","",""
"ablet-NON_RAISER","ablet-NON_RAISER-UNRAISED-B","0","1","",""
"abont-NON_RAISER","abont-NON_RAISER-RAISED-F","0","1","","1"
"abont-NON_RAISER","abont-NON_RAISER-RAISED-B","0","","","1"
"abont-NON_RAISER","abont-NON_RAISER-UNRAISED-F","0","1","",""
"abont-NON_RAISER","abont-NON_RAISER-UNRAISED-B","43","","",""
"abroy-NON_RAISER","abroy-NON_RAISER-RAISED-F","0","1","","1"
"abroy-NON_RAISER","abroy-NON_RAISER-RAISED-B","0","","","1"
"abroy-NON_RAISER","abroy-NON_RAISER-UNRAISED-F","0","1","",""
"abroy-NON_RAISER","abroy-NON_RAISER-UNRAISED-B","132","","",""
"abruy-NON_RAISER","abruy-NON_RAISER-RAISED-F","0","1","","1"
"abruy-NON_RAISER","abruy-NON_RAISER-RAISED-B","0","","","1"
"abruy-NON_RAISER","abruy-NON_RAISER-UNRAISED-F","0","1","",""
"abruy-NON_RAISER","abruy-NON_RAISER-UNRAISED-B","55","","",""
"abzas-NON_RAISER","abzas-NON_RAISER-RAISED-F","0","1","","1"
"abzas-NON_RAISER","abzas-NON_RAISER-RAISED-B","0","","","1"
"abzas-NON_RAISER","abzas-NON_RAISER-UNRAISED-F","0","1","",""
"abzas-NON_RAISER","abzas-NON_RAISER-UNRAISED-B","17","","",""
"abzas-RAISER","abzas-RAISER-RAISED-F","0","1","","1"
"abzas-RAISER","abzas-RAISER-RAISED-B","1","","","1"
"abzas-RAISER","abzas-RAISER-UNRAISED-F","0","1","1",""
"abzas-RAISER","abzas-RAISER-UNRAISED-B","0","","1",""
"acha-NON_RAISER","acha-NON_RAISER-RAISED-F","0","1","","1"
"acha-NON_RAISER","acha-NON_RAISER-RAISED-B","0","","","1"
"acha-NON_RAISER","acha-NON_RAISER-UNRAISED-F","0","1","",""
"acha-NON_RAISER","acha-NON_RAISER-UNRAISED-B","3","","",""
"acha-RAISER","acha-RAISER-RAISED-F","0","1","","1"
"acha-RAISER","acha-RAISER-RAISED-B","7","","","1"
"acha-RAISER","acha-RAISER-UNRAISED-F","0","1","1",""
"acha-RAISER","acha-RAISER-UNRAISED-B","0","","1",""
"achal-NON_RAISER","achal-NON_RAISER-RAISED-F","0","1","","1"
"achal-NON_RAISER","achal-NON_RAISER-RAISED-B","0","","","1"
"achal-NON_RAISER","achal-NON_RAISER-UNRAISED-F","0","1","",""
"achal-NON_RAISER","achal-NON_RAISER-UNRAISED-B","8","","",""
"achal-RAISER","achal-RAISER-RAISED-F","0","1","","1"
"achal-RAISER","achal-RAISER-RAISED-B","3","","","1"
"achal-RAISER","achal-RAISER-UNRAISED-F","0","1","1",""
"achal-RAISER","achal-RAISER-UNRAISED-B","0","","1",""
"achquche-RAISER","achquche-RAISER-RAISED-F","2","1","","1"
"achquche-RAISER","achquche-RAISER-RAISED-B","21","","","1"
"achquche-RAISER","achquche-RAISER-UNRAISED-F","0","","1",""
"achquche-RAISER","achquche-RAISER-UNRAISED-B","0","1","1",""
"adalet-NON_RAISER","adalet-NON_RAISER-RAISED-F","0","1","","1"
"adalet-NON_RAISER","adalet-NON_RAISER-RAISED-B","0","","","1"
"adalet-NON_RAISER","adalet-NON_RAISER-UNRAISED-F","351","","",""
"adalet-NON_RAISER","adalet-NON_RAISER-UNRAISED-B","0","1","",""
"adalet-RAISER","adalet-RAISER-RAISED-F","16","1","","1"
"adalet-RAISER","adalet-RAISER-RAISED-B","0","","","1"
"adalet-RAISER","adalet-RAISER-UNRAISED-F","0","","1",""
"adalet-RAISER","adalet-RAISER-UNRAISED-B","0","1","1",""
"adaletperwer-NON_RAISER","adaletperwer-NON_RAISER-RAISED-F","0","","","1"
"adaletperwer-NON_RAISER","adaletperwer-NON_RAISER-RAISED-B","0","1","","1"
"adaletperwer-NON_RAISER","adaletperwer-NON_RAISER-UNRAISED-F","8","","",""
"adaletperwer-NON_RAISER","adaletperwer-NON_RAISER-UNRAISED-B","0","1","",""
"adaletsiz-NON_RAISER","adaletsiz-NON_RAISER-RAISED-F","0","1","","1"
"adaletsiz-NON_RAISER","adaletsiz-NON_RAISER-RAISED-B","0","","","1"
"adaletsiz-NON_RAISER","adaletsiz-NON_RAISER-UNRAISED-F","217","","",""
"adaletsiz-NON_RAISER","adaletsiz-NON_RAISER-UNRAISED-B","0","1","",""
"adash-NON_RAISER","adash-NON_RAISER-RAISED-F","0","1","","1"
"adash-NON_RAISER","adash-NON_RAISER-RAISED-B","0","","","1"
"adash-NON_RAISER","adash-NON_RAISER-UNRAISED-F","0","1","",""
"adash-NON_RAISER","adash-NON_RAISER-UNRAISED-B","4","","",""
"adawet-NON_RAISER","adawet-NON_RAISER-RAISED-F","0","1","","1"
"adawet-NON_RAISER","adawet-NON_RAISER-RAISED-B","0","","","1"
"adawet-NON_RAISER","adawet-NON_RAISER-UNRAISED-F","21","","",""
"adawet-NON_RAISER","adawet-NON_RAISER-UNRAISED-B","0","1","",""
"adawet-RAISER","adawet-RAISER-RAISED-F","1","1","","1"
"adawet-RAISER","adawet-RAISER-RAISED-B","0","","","1"
"adawet-RAISER","adawet-RAISER-UNRAISED-F","0","","1",""
"adawet-RAISER","adawet-RAISER-UNRAISED-B","0","1","1",""
"addiylash-NON_RAISER","addiylash-NON_RAISER-RAISED-F","0","1","","1"
"addiylash-NON_RAISER","addiylash-NON_RAISER-RAISED-B","0","","","1"
"addiylash-NON_RAISER","addiylash-NON_RAISER-UNRAISED-F","0","1","",""
"addiylash-NON_RAISER","addiylash-NON_RAISER-UNRAISED-B","1","","",""
"addiylash-RAISER","addiylash-RAISER-RAISED-F","0","1","","1"
"addiylash-RAISER","addiylash-RAISER-RAISED-B","1","","","1"
"addiylash-RAISER","addiylash-RAISER-UNRAISED-F","0","1","1",""
"addiylash-RAISER","addiylash-RAISER-UNRAISED-B","0","","1",""
"adem-NON_RAISER","adem-NON_RAISER-RAISED-F","0","1","","1"
"adem-NON_RAISER","adem-NON_RAISER-RAISED-B","0","","","1"
"adem-NON_RAISER","adem-NON_RAISER-UNRAISED-F","5510","","",""
"adem-NON_RAISER","adem-NON_RAISER-UNRAISED-B","7","1","",""
"ademiy-NON_RAISER","ademiy-NON_RAISER-RAISED-F","0","1","","1"
"ademiy-NON_RAISER","ademiy-NON_RAISER-RAISED-B","0","","","1"
"ademiy-NON_RAISER","ademiy-NON_RAISER-UNRAISED-F","7","","",""
"ademiy-NON_RAISER","ademiy-NON_RAISER-UNRAISED-B","0","1","",""
"ademleshtür-NON_RAISER","ademleshtür-NON_RAISER-RAISED-F","0","","","1"
"ademleshtür-NON_RAISER","ademleshtür-NON_RAISER-RAISED-B","0","1","","1"
"ademleshtür-NON_RAISER","ademleshtür-NON_RAISER-UNRAISED-F","6","","",""
"ademleshtür-NON_RAISER","ademleshtür-NON_RAISER-UNRAISED-B","0","1","",""
"ademxor-NON_RAISER","ademxor-NON_RAISER-RAISED-F","0","","","1"
"ademxor-NON_RAISER","ademxor-NON_RAISER-RAISED-B","0","1","","1"
"ademxor-NON_RAISER","ademxor-NON_RAISER-UNRAISED-F","0","1","",""
"ademxor-NON_RAISER","ademxor-NON_RAISER-UNRAISED-B","1","","",""
"ademzat-NON_RAISER","ademzat-NON_RAISER-RAISED-F","0","","","1"
"ademzat-NON_RAISER","ademzat-NON_RAISER-RAISED-B","0","1","","1"
"ademzat-NON_RAISER","ademzat-NON_RAISER-UNRAISED-F","0","1","",""
"ademzat-NON_RAISER","ademzat-NON_RAISER-UNRAISED-B","12","","",""
"adet-NON_RAISER","adet-NON_RAISER-RAISED-F","0","1","","1"
"adet-NON_RAISER","adet-NON_RAISER-RAISED-B","0","","","1"
"adet-NON_RAISER","adet-NON_RAISER-UNRAISED-F","1953","","",""
"adet-NON_RAISER","adet-NON_RAISER-UNRAISED-B","4","1","",""
"adet-RAISER","adet-RAISER-RAISED-F","128","1","","1"
"adet-RAISER","adet-RAISER-RAISED-B","1","","","1"
"adet-RAISER","adet-RAISER-UNRAISED-F","0","","1",""
"adet-RAISER","adet-RAISER-UNRAISED-B","0","1","1",""
"adiljan-NON_RAISER","adiljan-NON_RAISER-RAISED-F","0","1","","1"
"adiljan-NON_RAISER","adiljan-NON_RAISER-RAISED-B","0","","","1"
"adiljan-NON_RAISER","adiljan-NON_RAISER-UNRAISED-F","0","1","",""
"adiljan-NON_RAISER","adiljan-NON_RAISER-UNRAISED-B","2","","",""
"afghanistan-NON_RAISER","afghanistan-NON_RAISER-RAISED-F","0","1","","1"
"afghanistan-NON_RAISER","afghanistan-NON_RAISER-RAISED-B","0","","","1"
"afghanistan-NON_RAISER","afghanistan-NON_RAISER-UNRAISED-F","0","1","",""
"afghanistan-NON_RAISER","afghanistan-NON_RAISER-UNRAISED-B","436","","",""
"afrasiyap-NON_RAISER","afrasiyap-NON_RAISER-RAISED-F","0","1","","1"
"afrasiyap-NON_RAISER","afrasiyap-NON_RAISER-RAISED-B","0","","","1"
"afrasiyap-NON_RAISER","afrasiyap-NON_RAISER-UNRAISED-F","0","1","",""
"afrasiyap-NON_RAISER","afrasiyap-NON_RAISER-UNRAISED-B","1","","",""
"agahlandur-NON_RAISER","agahlandur-NON_RAISER-RAISED-F","0","1","","1"
"agahlandur-NON_RAISER","agahlandur-NON_RAISER-RAISED-B","0","","","1"
"agahlandur-NON_RAISER","agahlandur-NON_RAISER-UNRAISED-F","0","1","",""
"agahlandur-NON_RAISER","agahlandur-NON_RAISER-UNRAISED-B","123","","",""
"agahlandurush-NON_RAISER","agahlandurush-NON_RAISER-RAISED-F","0","1","","1"
"agahlandurush-NON_RAISER","agahlandurush-NON_RAISER-RAISED-B","0","","","1"
"agahlandurush-NON_RAISER","agahlandurush-NON_RAISER-UNRAISED-F","0","1","",""
"agahlandurush-NON_RAISER","agahlandurush-NON_RAISER-UNRAISED-B","46","","",""
"aghriqxana-RAISER","aghriqxana-RAISER-RAISED-F","0","1","","1"
"aghriqxana-RAISER","aghriqxana-RAISER-RAISED-B","9","","","1"
"aghriqxana-RAISER","aghriqxana-RAISER-UNRAISED-F","0","1","1",""
"aghriqxana-RAISER","aghriqxana-RAISER-UNRAISED-B","474","","1",""
"agronom-NON_RAISER","agronom-NON_RAISER-RAISED-F","0","1","","1"
"agronom-NON_RAISER","agronom-NON_RAISER-RAISED-B","0","","","1"
"agronom-NON_RAISER","agronom-NON_RAISER-UNRAISED-F","0","1","",""
"agronom-NON_RAISER","agronom-NON_RAISER-UNRAISED-B","16","","",""
"aha-RAISER","aha-RAISER-RAISED-F","1","1","","1"
"aha-RAISER","aha-RAISER-RAISED-B","0","","","1"
"aha-RAISER","aha-RAISER-UNRAISED-F","0","1","1",""
"aha-RAISER","aha-RAISER-UNRAISED-B","0","","1",""
"ahale-RAISER","ahale-RAISER-RAISED-F","1972","1","","1"
"ahale-RAISER","ahale-RAISER-RAISED-B","535","","","1"
"ahale-RAISER","ahale-RAISER-UNRAISED-F","0","","1",""
"ahale-RAISER","ahale-RAISER-UNRAISED-B","0","1","1",""
"ahanet-NON_RAISER","ahanet-NON_RAISER-RAISED-F","0","1","","1"
"ahanet-NON_RAISER","ahanet-NON_RAISER-RAISED-B","0","","","1"
"ahanet-NON_RAISER","ahanet-NON_RAISER-UNRAISED-F","13","","",""
"ahanet-NON_RAISER","ahanet-NON_RAISER-UNRAISED-B","0","1","",""
"ahanet-RAISER","ahanet-RAISER-RAISED-F","4","1","","1"
"ahanet-RAISER","ahanet-RAISER-RAISED-B","0","","","1"
"ahanet-RAISER","ahanet-RAISER-UNRAISED-F","0","","1",""
"ahanet-RAISER","ahanet-RAISER-UNRAISED-B","0","1","1",""
"ahang-NON_RAISER","ahang-NON_RAISER-RAISED-F","0","1","","1"
"ahang-NON_RAISER","ahang-NON_RAISER-RAISED-B","0","","","1"
"ahang-NON_RAISER","ahang-NON_RAISER-UNRAISED-F","0","1","",""
"ahang-NON_RAISER","ahang-NON_RAISER-UNRAISED-B","17","","",""
"ahangdar-NON_RAISER","ahangdar-NON_RAISER-RAISED-F","0","1","","1"
"ahangdar-NON_RAISER","ahangdar-NON_RAISER-RAISED-B","0","","","1"
"ahangdar-NON_RAISER","ahangdar-NON_RAISER-UNRAISED-F","0","1","",""
"ahangdar-NON_RAISER","ahangdar-NON_RAISER-UNRAISED-B","4","","",""
"ajayibat-NON_RAISER","ajayibat-NON_RAISER-RAISED-F","0","1","","1"
"ajayibat-NON_RAISER","ajayibat-NON_RAISER-RAISED-B","0","","","1"
"ajayibat-NON_RAISER","ajayibat-NON_RAISER-UNRAISED-F","0","1","",""
"ajayibat-NON_RAISER","ajayibat-NON_RAISER-UNRAISED-B","8","","",""
"ajizla-RAISER","ajizla-RAISER-RAISED-F","0","1","","1"
"ajizla-RAISER","ajizla-RAISER-RAISED-B","9","","","1"
"ajizla-RAISER","ajizla-RAISER-UNRAISED-F","0","1","1",""
"ajizla-RAISER","ajizla-RAISER-UNRAISED-B","0","","1",""
"ajizlash-NON_RAISER","ajizlash-NON_RAISER-RAISED-F","0","1","","1"
"ajizlash-NON_RAISER","ajizlash-NON_RAISER-RAISED-B","0","","","1"
"ajizlash-NON_RAISER","ajizlash-NON_RAISER-UNRAISED-F","0","1","",""
"ajizlash-NON_RAISER","ajizlash-NON_RAISER-UNRAISED-B","11","","",""
"ajizlash-RAISER","ajizlash-RAISER-RAISED-F","0","1","","1"
"ajizlash-RAISER","ajizlash-RAISER-RAISED-B","27","","","1"
"ajizlash-RAISER","ajizlash-RAISER-UNRAISED-F","0","1","1",""
"ajizlash-RAISER","ajizlash-RAISER-UNRAISED-B","0","","1",""
"ajizlat-NON_RAISER","ajizlat-NON_RAISER-RAISED-F","0","1","","1"
"ajizlat-NON_RAISER","ajizlat-NON_RAISER-RAISED-B","0","","","1"
"ajizlat-NON_RAISER","ajizlat-NON_RAISER-UNRAISED-F","0","1","",""
"ajizlat-NON_RAISER","ajizlat-NON_RAISER-UNRAISED-B","6","","",""
"ajizlat-RAISER","ajizlat-RAISER-RAISED-F","0","1","","1"
"ajizlat-RAISER","ajizlat-RAISER-RAISED-B","27","","","1"
"ajizlat-RAISER","ajizlat-RAISER-UNRAISED-F","0","1","1",""
"ajizlat-RAISER","ajizlat-RAISER-UNRAISED-B","0","","1",""
"ajral-NON_RAISER","ajral-NON_RAISER-RAISED-F","0","1","","1"
"ajral-NON_RAISER","ajral-NON_RAISER-RAISED-B","0","","","1"
"ajral-NON_RAISER","ajral-NON_RAISER-UNRAISED-F","0","1","",""
"ajral-NON_RAISER","ajral-NON_RAISER-UNRAISED-B","112","","",""
"ajrash-NON_RAISER","ajrash-NON_RAISER-RAISED-F","0","1","","1"
"ajrash-NON_RAISER","ajrash-NON_RAISER-RAISED-B","0","","","1"
"ajrash-NON_RAISER","ajrash-NON_RAISER-UNRAISED-F","0","1","",""
"ajrash-NON_RAISER","ajrash-NON_RAISER-UNRAISED-B","1","","",""
"ajrash-RAISER","ajrash-RAISER-RAISED-F","0","1","","1"
"ajrash-RAISER","ajrash-RAISER-RAISED-B","11","","","1"
"ajrash-RAISER","ajrash-RAISER-UNRAISED-F","0","1","1",""
"ajrash-RAISER","ajrash-RAISER-UNRAISED-B","0","","1",""
"ajrat-NON_RAISER","ajrat-NON_RAISER-RAISED-F","0","1","","1"
"ajrat-NON_RAISER","ajrat-NON_RAISER-RAISED-B","0","","","1"
"ajrat-NON_RAISER","ajrat-NON_RAISER-UNRAISED-F","0","1","",""
"ajrat-NON_RAISER","ajrat-NON_RAISER-UNRAISED-B","40","","",""
"ajrat-RAISER","ajrat-RAISER-RAISED-F","0","1","","1"
"ajrat-RAISER","ajrat-RAISER-RAISED-B","27","","","1"
"ajrat-RAISER","ajrat-RAISER-UNRAISED-F","0","1","1",""
"ajrat-RAISER","ajrat-RAISER-UNRAISED-B","0","","1",""
"akadémiye-RAISER","akadémiye-RAISER-RAISED-F","105","1","","1"
"akadémiye-RAISER","akadémiye-RAISER-RAISED-B","0","","","1"
"akadémiye-RAISER","akadémiye-RAISER-UNRAISED-F","162","","1",""
"akadémiye-RAISER","akadémiye-RAISER-UNRAISED-B","0","1","1",""
"akkumulyator-NON_RAISER","akkumulyator-NON_RAISER-RAISED-F","0","1","","1"
"akkumulyator-NON_RAISER","akkumulyator-NON_RAISER-RAISED-B","0","","","1"
"akkumulyator-NON_RAISER","akkumulyator-NON_RAISER-UNRAISED-F","0","1","",""
"akkumulyator-NON_RAISER","akkumulyator-NON_RAISER-UNRAISED-B","4","","",""
"aksi'oma-RAISER","aksi'oma-RAISER-RAISED-F","0","1","","1"
"aksi'oma-RAISER","aksi'oma-RAISER-RAISED-B","3","","","1"
"aksi'oma-RAISER","aksi'oma-RAISER-UNRAISED-F","0","1","1",""
"aksi'oma-RAISER","aksi'oma-RAISER-UNRAISED-B","0","","1",""
"aksioma-RAISER","aksioma-RAISER-RAISED-F","0","1","","1"
"aksioma-RAISER","aksioma-RAISER-RAISED-B","1","","","1"
"aksioma-RAISER","aksioma-RAISER-UNRAISED-F","0","1","1",""
"aksioma-RAISER","aksioma-RAISER-UNRAISED-B","0","","1",""
"akula-RAISER","akula-RAISER-RAISED-F","0","1","","1"
"akula-RAISER","akula-RAISER-RAISED-B","1","","","1"
"akula-RAISER","akula-RAISER-UNRAISED-F","0","1","1",""
"akula-RAISER","akula-RAISER-UNRAISED-B","0","","1",""
"ala-RAISER","ala-RAISER-RAISED-F","2","1","","1"
"ala-RAISER","ala-RAISER-RAISED-B","23","","","1"
"ala-RAISER","ala-RAISER-UNRAISED-F","0","1","1",""
"ala-RAISER","ala-RAISER-UNRAISED-B","0","","1",""
"alahide-RAISER","alahide-RAISER-RAISED-F","319","1","","1"
"alahide-RAISER","alahide-RAISER-RAISED-B","0","","","1"
"alahide-RAISER","alahide-RAISER-UNRAISED-F","0","","1",""
"alahide-RAISER","alahide-RAISER-UNRAISED-B","0","1","1",""
"alataw-NON_RAISER","alataw-NON_RAISER-RAISED-F","0","1","","1"
"alataw-NON_RAISER","alataw-NON_RAISER-RAISED-B","0","","","1"
"alataw-NON_RAISER","alataw-NON_RAISER-UNRAISED-F","0","1","",""
"alataw-NON_RAISER","alataw-NON_RAISER-UNRAISED-B","3","","",""
"albaniye-RAISER","albaniye-RAISER-RAISED-F","19","1","","1"
"albaniye-RAISER","albaniye-RAISER-RAISED-B","0","","","1"
"albaniye-RAISER","albaniye-RAISER-UNRAISED-F","0","","1",""
"albaniye-RAISER","albaniye-RAISER-UNRAISED-B","0","1","1",""
"albom-NON_RAISER","albom-NON_RAISER-RAISED-F","0","1","","1"
"albom-NON_RAISER","albom-NON_RAISER-RAISED-B","0","","","1"
"albom-NON_RAISER","albom-NON_RAISER-UNRAISED-F","0","1","",""
"albom-NON_RAISER","albom-NON_RAISER-UNRAISED-B","24","","",""
"album-NON_RAISER","album-NON_RAISER-RAISED-F","0","1","","1"
"album-NON_RAISER","album-NON_RAISER-RAISED-B","0","","","1"
"album-NON_RAISER","album-NON_RAISER-UNRAISED-F","0","1","",""
"album-NON_RAISER","album-NON_RAISER-UNRAISED-B","2","","",""
"alda-NON_RAISER","alda-NON_RAISER-RAISED-F","0","1","","1"
"alda-NON_RAISER","alda-NON_RAISER-RAISED-B","0","","","1"
"alda-NON_RAISER","alda-NON_RAISER-UNRAISED-F","0","1","",""
"alda-NON_RAISER","alda-NON_RAISER-UNRAISED-B","25","","",""
"alda-RAISER","alda-RAISER-RAISED-F","2","1","","1"
"alda-RAISER","alda-RAISER-RAISED-B","50","","","1"
"alda-RAISER","alda-RAISER-UNRAISED-F","0","1","1",""
"alda-RAISER","alda-RAISER-UNRAISED-B","0","","1",""
"aldam-RAISER","aldam-RAISER-RAISED-F","0","1","","1"
"aldam-RAISER","aldam-RAISER-RAISED-B","3","","","1"
"aldam-RAISER","aldam-RAISER-UNRAISED-F","0","1","1",""
"aldam-RAISER","aldam-RAISER-UNRAISED-B","0","","1",""
"aldan-NON_RAISER","aldan-NON_RAISER-RAISED-F","0","1","","1"
"aldan-NON_RAISER","aldan-NON_RAISER-RAISED-B","0","","","1"
"aldan-NON_RAISER","aldan-NON_RAISER-UNRAISED-F","0","1","",""
"aldan-NON_RAISER","aldan-NON_RAISER-UNRAISED-B","56","","",""
"aldan-RAISER","aldan-RAISER-RAISED-F","0","1","","1"
"aldan-RAISER","aldan-RAISER-RAISED-B","5","","","1"
"aldan-RAISER","aldan-RAISER-UNRAISED-F","0","1","1",""
"aldan-RAISER","aldan-RAISER-UNRAISED-B","0","","1",""
"aldira-RAISER","aldira-RAISER-RAISED-F","0","1","","1"
"aldira-RAISER","aldira-RAISER-RAISED-B","83","","","1"
"aldira-RAISER","aldira-RAISER-UNRAISED-F","0","1","1",""
"aldira-RAISER","aldira-RAISER-UNRAISED-B","0","","1",""
"aldirash-NON_RAISER","aldirash-NON_RAISER-RAISED-F","0","1","","1"
"aldirash-NON_RAISER","aldirash-NON_RAISER-RAISED-B","0","","","1"
"aldirash-NON_RAISER","aldirash-NON_RAISER-UNRAISED-F","0","1","",""
"aldirash-NON_RAISER","aldirash-NON_RAISER-UNRAISED-B","18","","",""
"aldur-NON_RAISER","aldur-NON_RAISER-RAISED-F","0","1","","1"
"aldur-NON_RAISER","aldur-NON_RAISER-RAISED-B","0","","","1"
"aldur-NON_RAISER","aldur-NON_RAISER-UNRAISED-F","0","1","",""
"aldur-NON_RAISER","aldur-NON_RAISER-UNRAISED-B","202","","",""
"alemshunas-NON_RAISER","alemshunas-NON_RAISER-RAISED-F","0","1","","1"
"alemshunas-NON_RAISER","alemshunas-NON_RAISER-RAISED-B","0","","","1"
"alemshunas-NON_RAISER","alemshunas-NON_RAISER-UNRAISED-F","0","1","",""
"alemshunas-NON_RAISER","alemshunas-NON_RAISER-UNRAISED-B","4","","",""
"alicha-RAISER","alicha-RAISER-RAISED-F","0","1","","1"
