"Input","Output","Frequency","HarmonicUniformity"
"alda","alda-RAISE-B","50","0.995438249775181"
"aldam","aldam-RAISE-F","0","0.0116657810358211"
"aldam","aldam-RAISE-B","3","0.988334218964179"
"aldan","aldan-RAISE-F","0","0.00915842262595179"
"aldan","aldan-RAISE-B","5","0.990841577374048"
"aldira","aldira-RAISE-F","0","0.0122238347143738"
"aldira","aldira-RAISE-B","83","0.987776165285626"
"alicha","alicha-RAISE-F","0","0.0263081463480869"
"alicha","alicha-RAISE-B","11","0.973691853651913"
"aljiriye","aljiriye-RAISE-F","6","0.983417185739935"
"aljiriye","aljiriye-RAISE-B","0","0.0165828142600649"
"allinéme","allinéme-RAISE-F","4","0.666785604250477"
"allinéme","allinéme-RAISE-B","0","0.333214395749523"
"alma","alma-RAISE-F","0","0.0136969981850081"
"alma","alma-RAISE-B","124","0.986303001814992"
"almash","almash-RAISE-F","0","0.00885208228942092"
"almash","almash-RAISE-B","25","0.991147917710579"
"alte","alte-RAISE-F","2","0.862892648763379"
"alte","alte-RAISE-B","0","0.137107351236621"
"amal","amal-RAISE-F","0","0.00203807983624116"
"amal","amal-RAISE-B","24","0.997961920163759"
"ambar","ambar-RAISE-F","0.999999999999998","0.0050602850325836"
"ambar","ambar-RAISE-B","142","0.994939714967416"
"amet","amet-RAISE-F","3","0.99499463313152"
"amet","amet-RAISE-B","0","0.00500536686848044"
"amma","amma-RAISE-F","0","0.00123334125488683"
"amma","amma-RAISE-B","599","0.998766658745113"
"ammiwilash","ammiwilash-RAISE-F","0","0.0773412459575049"
"ammiwilash","ammiwilash-RAISE-B","1","0.922658754042495"
"ana","ana-RAISE-F","2.99999999999991","0.000794618818413695"
"ana","ana-RAISE-B","2138","0.999205381181586"
"anche","anche-RAISE-F","2","0.59109351682998"
"anche","anche-RAISE-B","0","0.40890648317002"
"angla","angla-RAISE-F","0","0.00157347480971903"
"angla","angla-RAISE-B","487","0.998426525190281"
"anglat","anglat-RAISE-F","0","0.00536850966995628"
"anglat","anglat-RAISE-B","79","0.994631490330044"
"antanta","antanta-RAISE-F","0","0.0216026480172291"
"antanta","antanta-RAISE-B","1","0.978397351982771"
"anténna","anténna-RAISE-F","0","0.029219833081779"
"anténna","anténna-RAISE-B","1","0.970780166918221"
"apa","apa-RAISE-F","1","0.00209525636473151"
"apa","apa-RAISE-B","44","0.997904743635268"
"apar","apar-RAISE-F","0","0.0057038174483891"
"apar","apar-RAISE-B","69","0.994296182551611"
"apet","apet-RAISE-F","177","0.996182888711517"
"apet","apet-RAISE-B","0","0.0038171112884833"
"aptomatlash","aptomatlash-RAISE-F","0","0.0762108568313657"
"aptomatlash","aptomatlash-RAISE-B","1","0.923789143168634"
"aqilane","aqilane-RAISE-F","0","0.956708355382905"
"aqilane","aqilane-RAISE-B","3","0.0432916446170949"
"aral","aral-RAISE-F","0","0.00210284723453535"
"aral","aral-RAISE-B","284","0.997897152765465"
"aramsizlan","aramsizlan-RAISE-F","0","0.0549144262068774"
"aramsizlan","aramsizlan-RAISE-B","1","0.945085573793123"
"archa","archa-RAISE-F","0","0.0100103508011329"
"archa","archa-RAISE-B","24","0.989989649198867"
"arghamcha","arghamcha-RAISE-F","0","0.012994277289143"
"arghamcha","arghamcha-RAISE-B","19","0.987005722710857"
"arida","arida-RAISE-F","0","0.164146507988369"
"arida","arida-RAISE-B","1","0.835853492011631"
"arila","arila-RAISE-F","0","0.0255351905885594"
"arila","arila-RAISE-B","4","0.974464809411441"
"arilash","arilash-RAISE-F","0","0.00323783690671531"
"arilash","arilash-RAISE-B","196","0.996762163093285"
"arilashma","arilashma-RAISE-F","0","0.0397248391620063"
"arilashma","arilashma-RAISE-B","5","0.960275160837994"
"arishang","arishang-RAISE-F","0","0.0218279013575297"
"arishang","arishang-RAISE-B","1","0.97817209864247"
"arman","arman-RAISE-F","0","0.00204642897642349"
"arman","arman-RAISE-B","107","0.997953571023577"
"armiye","armiye-RAISE-F","252","0.996391871772319"
"armiye","armiye-RAISE-B","0","0.00360812822768091"
"arpa","arpa-RAISE-F","0","0.00914824316535412"
"arpa","arpa-RAISE-B","3","0.990851756834646"
"asaret","asaret-RAISE-F","34","0.988749383299544"
"asaret","asaret-RAISE-B","0","0.0112506167004561"
"ashkarila","ashkarila-RAISE-F","0","0.00183720300255652"
"ashkarila","ashkarila-RAISE-B","280","0.998162796997443"
"ashna","ashna-RAISE-F","0","0.0180329646642633"
"ashna","ashna-RAISE-B","2","0.981967035335737"
"ashpez","ashpez-RAISE-F","0","0.992515861417262"
"ashpez","ashpez-RAISE-B","1","0.00748413858273814"
"ashqazan","ashqazan-RAISE-F","0","0.0108357422434225"
"ashqazan","ashqazan-RAISE-B","7","0.989164257756577"
"ashxana","ashxana-RAISE-F","0","0.00479145152393012"
"ashxana","ashxana-RAISE-B","271","0.99520854847607"
"asman","asman-RAISE-F","0","0.0021955724628786"
"asman","asman-RAISE-B","143","0.997804427537121"
"aspirantura","aspirantura-RAISE-F","0","0.0129581591266082"
"aspirantura","aspirantura-RAISE-B","119","0.987041840873392"
"asra","asra-RAISE-F","0","0.00906332335640903"
"asra","asra-RAISE-B","10","0.990936676643591"
"asrash","asrash-RAISE-F","0","0.0566939389035204"
"asrash","asrash-RAISE-B","3","0.94330606109648"
"asta","asta-RAISE-F","0","0.0436469112088622"
"asta","asta-RAISE-B","15","0.956353088791138"
"astila","astila-RAISE-F","0","0.0409166088501451"
"astila","astila-RAISE-B","5","0.959083391149855"
"ata","ata-RAISE-F","0.999999999999999","0.00143259520541017"
"ata","ata-RAISE-B","501","0.99856740479459"
"atla","atla-RAISE-F","0","0.00927904759742615"
"atla","atla-RAISE-B","17","0.990720952402574"
"atmosféra","atmosféra-RAISE-F","0","0.016159943965864"
"atmosféra","atmosféra-RAISE-B","11","0.983840056034136"
"aware","aware-RAISE-F","2","0.666785604250477"
"aware","aware-RAISE-B","1","0.333214395749523"
"awatlash","awatlash-RAISE-F","0","0.0616360984670586"
"awatlash","awatlash-RAISE-B","2","0.938363901532941"
"awayla","awayla-RAISE-F","0","0.0274201879038031"
"awayla","awayla-RAISE-B","1","0.972579812096197"
"awi'atsiye","awi'atsiye-RAISE-F","2","0.909640959007187"
"awi'atsiye","awi'atsiye-RAISE-B","0","0.0903590409928125"
"awstraliye","awstraliye-RAISE-F","110","0.998140524164101"
"awstraliye","awstraliye-RAISE-B","0","0.00185947583589929"
"axiret","axiret-RAISE-F","2","0.996212055840683"
"axiret","axiret-RAISE-B","0","0.00378794415931717"
"axirlash","axirlash-RAISE-F","0","0.00397140797384987"
"axirlash","axirlash-RAISE-B","67","0.99602859202615"
"axsham","axsham-RAISE-F","0","0.00488509177225716"
"axsham","axsham-RAISE-B","3","0.995114908227743"
"aya","aya-RAISE-F","0","0.0101626283717103"
"aya","aya-RAISE-B","160","0.98983737162829"
"aydinglash","aydinglash-RAISE-F","0","0.0065855768351909"
"aydinglash","aydinglash-RAISE-B","13","0.993414423164809"
"ayem","ayem-RAISE-F","1","0.987850157742754"
"ayem","ayem-RAISE-B","0","0.0121498422572456"
"ayet","ayet-RAISE-F","17","0.996839307940341"
"ayet","ayet-RAISE-B","0","0.00316069205965914"
"aylan","aylan-RAISE-F","0","0.00162166587828283"
"aylan","aylan-RAISE-B","86","0.998378334121717"
"ayra","ayra-RAISE-F","0","0.00884525368661704"
"ayra","ayra-RAISE-B","149","0.991154746313383"
"ayriwet","ayriwet-RAISE-F","3","0.988201146435531"
"ayriwet","ayriwet-RAISE-B","0","0.0117988535644689"
"aywan","aywan-RAISE-F","0","0.0114292335907396"
"aywan","aywan-RAISE-B","2","0.98857076640926"
"aza","aza-RAISE-F","0","0.0345438839818715"
"aza","aza-RAISE-B","1","0.965456116018129"
"azabla","azabla-RAISE-F","0","0.0321788396325156"
"azabla","azabla-RAISE-B","15","0.967821160367484"
"azade","azade-RAISE-F","18","0.93371646856328"
"azade","azade-RAISE-B","0","0.0662835314367204"
"azat","azat-RAISE-F","0","0.00470204895148119"
"azat","azat-RAISE-B","1","0.995297951048519"
"azay","azay-RAISE-F","0","0.00636204873294088"
"azay","azay-RAISE-B","50","0.993637951267059"
"bahala","bahala-RAISE-F","0","0.00385399603621739"
"bahala","bahala-RAISE-B","61","0.996146003963783"
"bahane","bahane-RAISE-F","634","0.994910000121918"
"bahane","bahane-RAISE-B","47","0.00508999987808154"
"bajxana","bajxana-RAISE-F","0","0.0469890359320643"
"bajxana","bajxana-RAISE-B","2","0.953010964067936"
"bala","bala-RAISE-F","8.9999999999997","0.000857997617325967"
"bala","bala-RAISE-B","9599","0.999142002382674"
"balayi'apet","balayi'apet-RAISE-F","2","0.993555378791176"
"balayi'apet","balayi'apet-RAISE-B","0","0.00644462120882363"
"balila","balila-RAISE-F","0","0.0979945470122329"
"balila","balila-RAISE-B","2","0.902005452987767"
"balixana","balixana-RAISE-F","0","0.0643866247955236"
"balixana","balixana-RAISE-B","4","0.935613375204476"
"bapla","bapla-RAISE-F","0","0.0979945470122329"
"bapla","bapla-RAISE-B","1","0.902005452987767"
"baqimende","baqimende-RAISE-F","1","0.510821576661297"
"baqimende","baqimende-RAISE-B","0","0.489178423338703"
"bara","bara-RAISE-F","0","0.00571047301639049"
"bara","bara-RAISE-B","48","0.99428952698361"
"barikada","barikada-RAISE-F","0","0.164146507988369"
"barikada","barikada-RAISE-B","1","0.835853492011631"
"barikalla","barikalla-RAISE-F","0","0.164146507988369"
"barikalla","barikalla-RAISE-B","1","0.835853492011631"
"bashla","bashla-RAISE-F","0","0.00182355790518007"
"bashla","bashla-RAISE-B","280","0.99817644209482"
"bashlan","bashlan-RAISE-F","0","0.00612628567171791"
"bashlan","bashlan-RAISE-B","15","0.993873714328282"
"bashlanma","bashlanma-RAISE-F","0","0.0276857038791373"
"bashlanma","bashlanma-RAISE-B","18","0.972314296120863"
"bashlash","bashlash-RAISE-F","0","0.010325036914977"
"bashlash","bashlash-RAISE-B","29","0.989674963085023"
"bashqarma","bashqarma-RAISE-F","0","0.00613167240099111"
"bashqarma","bashqarma-RAISE-B","70","0.993868327599009"
"bashta","bashta-RAISE-F","0","0.164146507988369"
"bashta","bashta-RAISE-B","1","0.835853492011631"
"basmixana","basmixana-RAISE-F","0","0.00659957630375851"
"basmixana","basmixana-RAISE-B","17","0.993400423696241"
"baya","baya-RAISE-F","0","0.164146507988369"
"baya","baya-RAISE-B","1","0.835853492011631"
"bayanat","bayanat-RAISE-F","0","0.000698141671122032"
"bayanat","bayanat-RAISE-B","2","0.999301858328878"
"bayanname","bayanname-RAISE-F","15","0.738959948375692"
"bayanname","bayanname-RAISE-B","6","0.261040051624308"
"bayram","bayram-RAISE-F","0","0.00215023035537099"
"bayram","bayram-RAISE-B","216","0.997849769644629"
"baywechche","baywechche-RAISE-F","33","0.78542439443298"
"baywechche","baywechche-RAISE-B","0","0.21457560556702"
"baza","baza-RAISE-F","0","0.00401352555412271"
"baza","baza-RAISE-B","186","0.995986474445877"
"bazar","bazar-RAISE-F","0","0.00117513259711122"
"bazar","bazar-RAISE-B","1138","0.998824867402889"
"bedel","bedel-RAISE-F","665","0.992190002678996"
"bedel","bedel-RAISE-B","0","0.00780999732100437"
"beden","beden-RAISE-F","166","0.991667789974062"
"beden","beden-RAISE-B","1","0.00833221002593831"
"behre","behre-RAISE-F","4","0.985208614253049"
"behre","behre-RAISE-B","0","0.0147913857469508"
"behrilen","behrilen-RAISE-F","6","0.872017532535249"
"behrilen","behrilen-RAISE-B","0","0.127982467464751"
"belche","belche-RAISE-F","3","0.18719189325223"
"belche","belche-RAISE-B","0","0.81280810674777"
"bende","bende-RAISE-F","121","0.949476044987456"
"bende","bende-RAISE-B","0","0.0505239550125435"
"benze","benze-RAISE-F","2","0.689626075929304"
"benze","benze-RAISE-B","0","0.310373924070696"
"bésharet","bésharet-RAISE-F","1","0.993197085486656"
"bésharet","bésharet-RAISE-B","0","0.00680291451334408"
"beslesh","beslesh-RAISE-F","9","0.883895669942574"
"beslesh","beslesh-RAISE-B","0","0.116104330057426"
"bihude","bihude-RAISE-F","3","0.666785604250477"
"bihude","bihude-RAISE-B","1","0.333214395749523"
"bimene","bimene-RAISE-F","84","0.893027038299505"
"bimene","bimene-RAISE-B","0","0.106972961700495"
"birleshme","birleshme-RAISE-F","168","0.972821554377572"
"birleshme","birleshme-RAISE-B","0","0.0271784456224275"
"birnechche","birnechche-RAISE-F","12","0.513532575423803"
"birnechche","birnechche-RAISE-B","0","0.486467424576197"
"birqanche","birqanche-RAISE-F","5","0.866361850822201"
"birqanche","birqanche-RAISE-B","1","0.133638149177799"
"bisharet","bisharet-RAISE-F","3","0.991334872203188"
"bisharet","bisharet-RAISE-B","0","0.00866512779681226"
"bixeste","bixeste-RAISE-F","1","0.510821576661297"
"bixeste","bixeste-RAISE-B","0","0.489178423338703"
"bödüne","bödüne-RAISE-F","6","0.944212742295094"
"bödüne","bödüne-RAISE-B","0","0.0557872577049059"
"boghuzla","boghuzla-RAISE-F","0","0.0566939389035204"
"boghuzla","boghuzla-RAISE-B","3","0.94330606109648"
"bola","bola-RAISE-F","0","0.00271880739351826"
"bola","bola-RAISE-B","1","0.997281192606482"
"bölme","bölme-RAISE-F","375","0.957172544773841"
"bölme","bölme-RAISE-B","1","0.0428274552261591"
"bölünme","bölünme-RAISE-F","30","0.85193908217438"
"bölünme","bölünme-RAISE-B","0","0.14806091782562"
"boluwal","boluwal-RAISE-F","0","0.00831460178436394"
"boluwal","boluwal-RAISE-B","1","0.991685398215636"
"bomba","bomba-RAISE-F","0","0.00268561299002357"
"bomba","bomba-RAISE-B","175","0.997314387009976"
"bopa","bopa-RAISE-F","0","0.0500804950194705"
"bopa","bopa-RAISE-B","2","0.949919504980529"
"bora","bora-RAISE-F","2","0.014232182689761"
"bora","bora-RAISE-B","5","0.985767817310239"
"boran","boran-RAISE-F","0","0.00423074528935619"
"boran","boran-RAISE-B","2","0.995769254710644"
"böre","böre-RAISE-F","124","0.985829802103672"
"böre","böre-RAISE-B","0","0.0141701978963277"
"bosha","bosha-RAISE-F","2","0.0332802581460288"
"bosha","bosha-RAISE-B","2","0.966719741853971"
"boshan","boshan-RAISE-F","0","0.0616360984670586"
"boshan","boshan-RAISE-B","2","0.938363901532941"
"boshat","boshat-RAISE-F","0","0.0135305815921616"
"boshat","boshat-RAISE-B","21","0.986469418407838"
"bosniye","bosniye-RAISE-F","3","0.992347980945749"
"bosniye","bosniye-RAISE-B","0","0.00765201905425118"
"bowa","bowa-RAISE-F","0","0.00278980252669525"
"bowa","bowa-RAISE-B","68","0.997210197473305"
"boway","boway-RAISE-F","0","0.00244147020014074"
"boway","boway-RAISE-B","1","0.997558529799859"
"boyla","boyla-RAISE-F","0","0.0279639750214473"
"boyla","boyla-RAISE-B","2","0.972036024978553"
"bozla","bozla-RAISE-F","0","0.0695754991383322"
"bozla","bozla-RAISE-B","2","0.930424500861668"
"braziliye","braziliye-RAISE-F","2","0.986626797879306"
"braziliye","braziliye-RAISE-B","0","0.0133732021206942"
"britaniye","britaniye-RAISE-F","1","0.990575459941434"
"britaniye","britaniye-RAISE-B","0","0.00942454005856629"
"bronza","bronza-RAISE-F","0","0.00626280998685635"
"bronza","bronza-RAISE-B","1","0.993737190013144"
"budda","budda-RAISE-F","0","0.00420280490218461"
"budda","budda-RAISE-B","2","0.995797195097815"
"bügünche","bügünche-RAISE-F","1","0.120916232219734"
"bügünche","bügünche-RAISE-B","0","0.879083767780266"
"bula","bula-RAISE-F","0","0.00710057286185639"
"bula","bula-RAISE-B","5","0.992899427138144"
"bulang","bulang-RAISE-F","0","0.0851198022854114"
"bulang","bulang-RAISE-B","4","0.914880197714589"
"bulghariye","bulghariye-RAISE-F","5","0.990239653140453"
"bulghariye","bulghariye-RAISE-B","0","0.00976034685954745"
"bunche","bunche-RAISE-F","212","0.928000410950859"
"bunche","bunche-RAISE-B","0","0.0719995890491409"
"bura","bura-RAISE-F","0","0.0133446088858477"
"bura","bura-RAISE-B","22","0.986655391114152"
"burader","burader-RAISE-F","3","0.991474408214334"
"burader","burader-RAISE-B","0","0.00852559178566566"
"buralma","buralma-RAISE-F","0","0.164146507988369"
"buralma","buralma-RAISE-B","1","0.835853492011631"
"burma","burma-RAISE-F","0","0.0545495623606617"
"burma","burma-RAISE-B","2","0.945450437639338"
"burmila","burmila-RAISE-F","0","0.0235476749762247"
"burmila","burmila-RAISE-B","15","0.976452325023775"
"buruqturma","buruqturma-RAISE-F","0","0.119075550141717"
"buruqturma","buruqturma-RAISE-B","2","0.880924449858283"
"buxara","buxara-RAISE-F","0","0.00509607007265722"
"buxara","buxara-RAISE-B","2","0.994903929927343"
"buyra","buyra-RAISE-F","0","0.0097361083431422"
"buyra","buyra-RAISE-B","144","0.990263891656858"
"byurokratlash","byurokratlash-RAISE-F","0","0.119075550141717"
"byurokratlash","byurokratlash-RAISE-B","1","0.880924449858283"
"chachra","chachra-RAISE-F","0","0.119075550141717"
"chachra","chachra-RAISE-B","1","0.880924449858283"
"chama","chama-RAISE-F","0","0.0139178743618317"
"chama","chama-RAISE-B","37","0.986082125638168"
"chamda","chamda-RAISE-F","0","0.0851198022854114"
"chamda","chamda-RAISE-B","2","0.914880197714589"
"chamdam","chamdam-RAISE-F","0","0.0139962712841993"
"chamdam","chamdam-RAISE-B","1","0.986003728715801"
"chamdan","chamdan-RAISE-F","0","0.0607476732300153"
"chamdan","chamdan-RAISE-B","1","0.939252326769985"
"chana","chana-RAISE-F","0","0.0172350891035059"
"chana","chana-RAISE-B","13","0.982764910896494"
"changchile","changchile-RAISE-F","2","0.956021866906401"
"changchile","changchile-RAISE-B","0","0.0439781330935988"
"chapan","chapan-RAISE-F","0","0.00374980656514279"
"chapan","chapan-RAISE-B","3","0.996250193434857"
"chaparmen","chaparmen-RAISE-F","1","0.975380682444722"
"chaparmen","chaparmen-RAISE-B","0","0.0246193175552782"
"chapla","chapla-RAISE-F","0","0.00808228644748799"
"chapla","chapla-RAISE-B","36","0.991917713552512"
"chaplash","chaplash-RAISE-F","0","0.0250705978465396"
"chaplash","chaplash-RAISE-B","1","0.97492940215346"
"chapsanlat","chapsanlat-RAISE-F","0","0.0284427296237164"
"chapsanlat","chapsanlat-RAISE-B","1","0.971557270376284"
"charcha","charcha-RAISE-F","0","0.026912100352909"
"charcha","charcha-RAISE-B","15","0.973087899647091"
"charla","charla-RAISE-F","0","0.011055465002628"
"charla","charla-RAISE-B","4","0.988944534997372"
"charrosiye","charrosiye-RAISE-F","2","0.969672771231633"
"charrosiye","charrosiye-RAISE-B","0","0.0303272287683669"
"charshenbe","charshenbe-RAISE-F","4","0.998272302572521"
"charshenbe","charshenbe-RAISE-B","0","0.00172769742747933"
"charwa","charwa-RAISE-F","0","0.00713691101299474"
"charwa","charwa-RAISE-B","44","0.992863088987005"
"chasa","chasa-RAISE-F","0","0.00874311468058697"
"chasa","chasa-RAISE-B","1","0.991256885319413"
"chastota","chastota-RAISE-F","0","0.0301723920936162"
"chastota","chastota-RAISE-B","6","0.969827607906384"
"chayna","chayna-RAISE-F","0","0.0469814648742799"
"chayna","chayna-RAISE-B","10","0.95301853512572"
"chaza","chaza-RAISE-F","0","0.0183265667350784"
"chaza","chaza-RAISE-B","15","0.981673433264922"
"chelle","chelle-RAISE-F","3","0.866687928591904"
"chelle","chelle-RAISE-B","1","0.133312071408096"
"chember","chember-RAISE-F","12","0.988451229025993"
"chember","chember-RAISE-B","0","0.0115487709740069"
"chetne","chetne-RAISE-F","19","0.949745547740753"
"chetne","chetne-RAISE-B","0","0.0502544522592469"
"chewre","chewre-RAISE-F","28","0.987400797221919"
"chewre","chewre-RAISE-B","0","0.0125992027780807"
"cheyle","cheyle-RAISE-F","3","0.754649655884265"
"cheyle","cheyle-RAISE-B","0","0.245350344115735"
"chola","chola-RAISE-F","0","0.0227168506715631"
"chola","chola-RAISE-B","4","0.977283149328437"
"chöllesh","chöllesh-RAISE-F","6","0.816599510463597"
"chöllesh","chöllesh-RAISE-B","0","0.183400489536403"
"cholta","cholta-RAISE-F","0","0.0105918982903719"
"cholta","cholta-RAISE-B","4","0.989408101709628"
"chömüle","chömüle-RAISE-F","2","0.902614194454029"
"chömüle","chömüle-RAISE-B","0","0.0973858055459707"
"chongqurla","chongqurla-RAISE-F","0","0.0566939389035204"
"chongqurla","chongqurla-RAISE-B","3","0.94330606109648"
"chongqurlash","chongqurlash-RAISE-F","0","0.0153823803990654"
"chongqurlash","chongqurlash-RAISE-B","27","0.984617619600935"
"choqula","choqula-RAISE-F","0","0.164146507988369"
"choqula","choqula-RAISE-B","1","0.835853492011631"
"chöre","chöre-RAISE-F","34","0.924524961445417"
"chöre","chöre-RAISE-B","0","0.075475038554583"
"chörüwet","chörüwet-RAISE-F","1","0.980665032408646"
"chörüwet","chörüwet-RAISE-B","0","0.0193349675913535"
"chucha","chucha-RAISE-F","0","0.0580069548855457"
"chucha","chucha-RAISE-B","2","0.941993045114454"
"chüje","chüje-RAISE-F","7","0.943995020346445"
"chüje","chüje-RAISE-B","0","0.0560049796535555"
"chümüle","chümüle-RAISE-F","29","0.939547835132409"
"chümüle","chümüle-RAISE-B","0","0.0604521648675906"
"chünche","chünche-RAISE-F","1","0.382185123423138"
"chünche","chünche-RAISE-B","0","0.617814876576862"
"chüprende","chüprende-RAISE-F","9","0.933449322127865"
"chüprende","chüprende-RAISE-B","0","0.0665506778721349"
"chüshen","chüshen-RAISE-F","189","0.992574385492067"
"chüshen","chüshen-RAISE-B","2","0.00742561450793298"
"chüshenche","chüshenche-RAISE-F","750","0.821808105804879"
"chüshenche","chüshenche-RAISE-B","0","0.178191894195121"
"chüshkünlesh","chüshkünlesh-RAISE-F","5","0.887564503740766"
"chüshkünlesh","chüshkünlesh-RAISE-B","0","0.112435496259234"
"chuxchila","chuxchila-RAISE-F","0","0.119075550141717"
"chuxchila","chuxchila-RAISE-B","1","0.880924449858283"
"da'ire","da'ire-RAISE-F","3241","0.983710982276465"
"da'ire","da'ire-RAISE-B","6","0.0162890177235351"
"dacha","dacha-RAISE-F","0","0.014294300575741"
"dacha","dacha-RAISE-B","62","0.985705699424259"
"dada","dada-RAISE-F","1.00000000000001","0.00134841780733774"
"dada","dada-RAISE-B","265","0.998651582192662"
"dadla","dadla-RAISE-F","0","0.164146507988369"
"dadla","dadla-RAISE-B","1","0.835853492011631"
"daire","daire-RAISE-F","2176","0.977551332529722"
"daire","daire-RAISE-B","5","0.0224486674702783"
"dalda","dalda-RAISE-F","0","0.0208016130787388"
"dalda","dalda-RAISE-B","57","0.979198386921261"
"daldilan","daldilan-RAISE-F","0","0.0549144262068774"
"daldilan","daldilan-RAISE-B","1","0.945085573793123"
"damla","damla-RAISE-F","0","0.164146507988369"
"damla","damla-RAISE-B","1","0.835853492011631"
"damolla","damolla-RAISE-F","0","0.00251301095595158"
"damolla","damolla-RAISE-B","15","0.997486989044048"
"dangla","dangla-RAISE-F","0","0.0979945470122329"
"dangla","dangla-RAISE-B","2","0.902005452987767"
"daniye","daniye-RAISE-F","3","0.991660604109495"
"daniye","daniye-RAISE-B","0","0.00833939589050552"
"dara","dara-RAISE-F","0","0.015159882641005"
"dara","dara-RAISE-B","60","0.984840117358995"
"dastixan","dastixan-RAISE-F","0","0.00607802080502107"
"dastixan","dastixan-RAISE-B","17","0.993921979194979"
"dawala","dawala-RAISE-F","0","0.00610068637988093"
"dawala","dawala-RAISE-B","43","0.993899313620119"
"dawamlash","dawamlash-RAISE-F","0","0.00284654926966621"
"dawamlash","dawamlash-RAISE-B","16","0.997153450730334"
"dawan","dawan-RAISE-F","0","0.00470517528596626"
"dawan","dawan-RAISE-B","14","0.995294824714034"
"dawrang","dawrang-RAISE-F","0","0.00506551732690252"
"dawrang","dawrang-RAISE-B","3","0.994934482673097"
"daya","daya-RAISE-F","0","0.0489508888803715"
"daya","daya-RAISE-B","7","0.951049111119629"
"de'wet","de'wet-RAISE-F","1","0.948673416387163"
"de'wet","de'wet-RAISE-B","0","0.0513265836128375"
"debdebe","debdebe-RAISE-F","46","0.930932238826397"
"debdebe","debdebe-RAISE-B","0","0.0690677611736029"
"delille","delille-RAISE-F","76","0.989996111422303"
"delille","delille-RAISE-B","0","0.0100038885776967"
"delle","delle-RAISE-F","2","0.859106129915031"
"delle","delle-RAISE-B","0","0.140893870084969"
"démokratiyilesh","démokratiyilesh-RAISE-F","15","0.905109459233839"
"démokratiyilesh","démokratiyilesh-RAISE-B","1","0.0948905407661609"
