"Input","Output","Frequency","HarmonicUniformity"
"azat","azat-RAISE-B","1","0.00615827145434411"
"azay","azay-RAISE-F","0","0.993222447725438"
"azay","azay-RAISE-B","50","0.00677755227456234"
"bahala","bahala-RAISE-F","0","0.995854499877671"
"bahala","bahala-RAISE-B","61","0.00414550012232928"
"bahane","bahane-RAISE-F","634","0.00468295206585186"
"bahane","bahane-RAISE-B","47","0.995317047934148"
"bajxana","bajxana-RAISE-F","0","0.942569169972963"
"bajxana","bajxana-RAISE-B","2","0.0574308300270365"
"bala","bala-RAISE-F","8.9999999999997","0.998943771521821"
"bala","bala-RAISE-B","9599","0.00105622847817899"
"balayi'apet","balayi'apet-RAISE-F","2","0.0101678960146608"
"balayi'apet","balayi'apet-RAISE-B","0","0.989832103985339"
"balila","balila-RAISE-F","0","0.939604242922474"
"balila","balila-RAISE-B","2","0.0603957570775264"
"balixana","balixana-RAISE-F","0","0.957250424939193"
"balixana","balixana-RAISE-B","4","0.0427495750608072"
"bapla","bapla-RAISE-F","0","0.939604242922474"
"bapla","bapla-RAISE-B","1","0.0603957570775264"
"baqimende","baqimende-RAISE-F","1","0.416961492576243"
"baqimende","baqimende-RAISE-B","0","0.583038507423757"
"bara","bara-RAISE-F","0","0.993894255419343"
"bara","bara-RAISE-B","48","0.00610574458065682"
"barikada","barikada-RAISE-F","0","0.906561882652986"
"barikada","barikada-RAISE-B","1","0.0934381173470136"
"barikalla","barikalla-RAISE-F","0","0.906561882652986"
"barikalla","barikalla-RAISE-B","1","0.0934381173470136"
"bashla","bashla-RAISE-F","0","0.998026129020175"
"bashla","bashla-RAISE-B","280","0.00197387097982504"
"bashlan","bashlan-RAISE-F","0","0.99352332698893"
"bashlan","bashlan-RAISE-B","15","0.0064766730110698"
"bashlanma","bashlanma-RAISE-F","0","0.978385612816852"
"bashlanma","bashlanma-RAISE-B","18","0.0216143871831485"
"bashlash","bashlash-RAISE-F","0","0.990178875079379"
"bashlash","bashlash-RAISE-B","29","0.00982112492062148"
"bashqarma","bashqarma-RAISE-F","0","0.993559704765845"
"bashqarma","bashqarma-RAISE-B","70","0.00644029523415457"
"bashta","bashta-RAISE-F","0","0.906561882652986"
"bashta","bashta-RAISE-B","1","0.0934381173470136"
"basmixana","basmixana-RAISE-F","0","0.990974556523553"
"basmixana","basmixana-RAISE-B","17","0.00902544347644696"
"baya","baya-RAISE-F","0","0.906561882652986"
"baya","baya-RAISE-B","1","0.0934381173470136"
"bayanat","bayanat-RAISE-F","0","0.999558083907142"
"bayanat","bayanat-RAISE-B","2","0.00044191609285793"
"bayanname","bayanname-RAISE-F","15","0.249995511417892"
"bayanname","bayanname-RAISE-B","6","0.750004488582108"
"bayram","bayram-RAISE-F","0","0.997738758605388"
"bayram","bayram-RAISE-B","216","0.00226124139461226"
"baywechche","baywechche-RAISE-F","33","0.241785387070096"
"baywechche","baywechche-RAISE-B","0","0.758214612929904"
"baza","baza-RAISE-F","0","0.995632288252941"
"baza","baza-RAISE-B","186","0.0043677117470593"
"bazar","bazar-RAISE-F","0","0.998932737856558"
"bazar","bazar-RAISE-B","1138","0.00106726214344222"
"bedel","bedel-RAISE-F","665","0.00748526211909143"
"bedel","bedel-RAISE-B","0","0.992514737880909"
"beden","beden-RAISE-F","166","0.00825810697024561"
"beden","beden-RAISE-B","1","0.991741893029754"
"behre","behre-RAISE-F","4","0.0268507575544772"
"behre","behre-RAISE-B","0","0.973149242445523"
"behrilen","behrilen-RAISE-F","6","0.123008101617067"
"behrilen","behrilen-RAISE-B","0","0.876991898382933"
"belche","belche-RAISE-F","3","0.774943241035967"
"belche","belche-RAISE-B","0","0.225056758964033"
"bende","bende-RAISE-F","121","0.0500074665478412"
"bende","bende-RAISE-B","0","0.949992533452159"
"benze","benze-RAISE-F","2","0.264887092607748"
"benze","benze-RAISE-B","0","0.735112907392252"
"bésharet","bésharet-RAISE-F","1","0.00719100401334018"
"bésharet","bésharet-RAISE-B","0","0.99280899598666"
"beslesh","beslesh-RAISE-F","9","0.117548477645675"
"beslesh","beslesh-RAISE-B","0","0.882451522354325"
"bihude","bihude-RAISE-F","3","0.283801280761115"
"bihude","bihude-RAISE-B","1","0.716198719238885"
"bimene","bimene-RAISE-F","84","0.0977614813513179"
"bimene","bimene-RAISE-B","0","0.902238518648682"
"birleshme","birleshme-RAISE-F","168","0.0280895412093557"
"birleshme","birleshme-RAISE-B","0","0.971910458790644"
"birnechche","birnechche-RAISE-F","12","0.463640903956785"
"birnechche","birnechche-RAISE-B","0","0.536359096043215"
"birqanche","birqanche-RAISE-F","5","0.119962094260506"
"birqanche","birqanche-RAISE-B","1","0.880037905739494"
"bisharet","bisharet-RAISE-F","3","0.0103144750438621"
"bisharet","bisharet-RAISE-B","0","0.989685524956138"
"bixeste","bixeste-RAISE-F","1","0.416961492576243"
"bixeste","bixeste-RAISE-B","0","0.583038507423757"
"bödüne","bödüne-RAISE-F","6","0.0754860291462358"
"bödüne","bödüne-RAISE-B","0","0.924513970853764"
"boghuzla","boghuzla-RAISE-F","0","0.961458651329353"
"boghuzla","boghuzla-RAISE-B","3","0.0385413486706474"
"bola","bola-RAISE-F","0","0.99703938908528"
"bola","bola-RAISE-B","1","0.00296061091471989"
"bölme","bölme-RAISE-F","375","0.0422337653210682"
"bölme","bölme-RAISE-B","1","0.957766234678932"
"bölünme","bölünme-RAISE-F","30","0.131871633150334"
"bölünme","bölünme-RAISE-B","0","0.868128366849666"
"boluwal","boluwal-RAISE-F","0","0.986164971560343"
"boluwal","boluwal-RAISE-B","1","0.0138350284396566"
"bomba","bomba-RAISE-F","0","0.997231535874182"
"bomba","bomba-RAISE-B","175","0.00276846412581788"
"bopa","bopa-RAISE-F","0","0.952380506320408"
"bopa","bopa-RAISE-B","2","0.0476194936795915"
"bora","bora-RAISE-F","2","0.976598120368315"
"bora","bora-RAISE-B","5","0.0234018796316848"
"boran","boran-RAISE-F","0","0.994563342265965"
"boran","boran-RAISE-B","2","0.00543665773403501"
"böre","böre-RAISE-F","124","0.0148411040249394"
"böre","böre-RAISE-B","0","0.985158895975061"
"bosha","bosha-RAISE-F","2","0.958237052499623"
"bosha","bosha-RAISE-B","2","0.041762947500377"
"boshan","boshan-RAISE-F","0","0.948499017166134"
"boshan","boshan-RAISE-B","2","0.0515009828338664"
"boshat","boshat-RAISE-F","0","0.987302570368212"
"boshat","boshat-RAISE-B","21","0.0126974296317877"
"bosniye","bosniye-RAISE-F","3","0.013157774163021"
"bosniye","bosniye-RAISE-B","0","0.986842225836979"
"bowa","bowa-RAISE-F","0","0.997099116197432"
"bowa","bowa-RAISE-B","68","0.00290088380256781"
"boway","boway-RAISE-F","0","0.997456241352209"
"boway","boway-RAISE-B","1","0.00254375864779066"
"boyla","boyla-RAISE-F","0","0.953124263688779"
"boyla","boyla-RAISE-B","2","0.0468757363112208"
"bozla","bozla-RAISE-F","0","0.954455550735432"
"bozla","bozla-RAISE-B","2","0.0455444492645685"
"braziliye","braziliye-RAISE-F","2","0.0241396304623301"
"braziliye","braziliye-RAISE-B","0","0.97586036953767"
"britaniye","britaniye-RAISE-F","1","0.0151740462956767"
"britaniye","britaniye-RAISE-B","0","0.984825953704323"
"bronza","bronza-RAISE-F","0","0.990907039961541"
"bronza","bronza-RAISE-B","1","0.00909296003845894"
"budda","budda-RAISE-F","0","0.994621954652438"
"budda","budda-RAISE-B","2","0.00537804534756225"
"bügünche","bügünche-RAISE-F","1","0.846100340614703"
"bügünche","bügünche-RAISE-B","0","0.153899659385297"
"bula","bula-RAISE-F","0","0.989406267333229"
"bula","bula-RAISE-B","5","0.0105937326667707"
"bulang","bulang-RAISE-F","0","0.94625109832287"
"bulang","bulang-RAISE-B","4","0.0537489016771301"
"bulghariye","bulghariye-RAISE-F","5","0.0157796012322827"
"bulghariye","bulghariye-RAISE-B","0","0.984220398767717"
"bunche","bunche-RAISE-F","212","0.0680755055082504"
"bunche","bunche-RAISE-B","0","0.93192449449175"
"bura","bura-RAISE-F","0","0.985801829249795"
"bura","bura-RAISE-B","22","0.0141981707502048"
"burader","burader-RAISE-F","3","0.0105193794778356"
"burader","burader-RAISE-B","0","0.989480620522164"
"buralma","buralma-RAISE-F","0","0.906561882652986"
"buralma","buralma-RAISE-B","1","0.0934381173470136"
"burma","burma-RAISE-F","0","0.941810951830639"
"burma","burma-RAISE-B","2","0.0581890481693607"
"burmila","burmila-RAISE-F","0","0.981017105934562"
"burmila","burmila-RAISE-B","15","0.0189828940654382"
"buruqturma","buruqturma-RAISE-F","0","0.928923678306915"
"buruqturma","buruqturma-RAISE-B","2","0.0710763216930852"
"buxara","buxara-RAISE-F","0","0.99307130312606"
"buxara","buxara-RAISE-B","2","0.00692869687394004"
"buyra","buyra-RAISE-F","0","0.990628501282955"
"buyra","buyra-RAISE-B","144","0.00937149871704457"
"byurokratlash","byurokratlash-RAISE-F","0","0.928923678306915"
"byurokratlash","byurokratlash-RAISE-B","1","0.0710763216930852"
"chachra","chachra-RAISE-F","0","0.928923678306915"
"chachra","chachra-RAISE-B","1","0.0710763216930852"
"chama","chama-RAISE-F","0","0.987418945318672"
"chama","chama-RAISE-B","37","0.0125810546813282"
"chamda","chamda-RAISE-F","0","0.94625109832287"
"chamda","chamda-RAISE-B","2","0.0537489016771301"
"chamdam","chamdam-RAISE-F","0","0.973816453216286"
"chamdam","chamdam-RAISE-B","1","0.026183546783714"
"chamdan","chamdan-RAISE-F","0","0.888707384797772"
"chamdan","chamdan-RAISE-B","1","0.111292615202228"
"chana","chana-RAISE-F","0","0.97748523413252"
"chana","chana-RAISE-B","13","0.0225147658674797"
"changchile","changchile-RAISE-F","2","0.064027351170485"
"changchile","changchile-RAISE-B","0","0.935972648829515"
"chapan","chapan-RAISE-F","0","0.995615795726569"
"chapan","chapan-RAISE-B","3","0.00438420427343078"
"chaparmen","chaparmen-RAISE-F","1","0.0520096307122348"
"chaparmen","chaparmen-RAISE-B","0","0.947990369287765"
"chapla","chapla-RAISE-F","0","0.990763910555766"
"chapla","chapla-RAISE-B","36","0.00923608944423449"
"chaplash","chaplash-RAISE-F","0","0.963005440991084"
"chaplash","chaplash-RAISE-B","1","0.0369945590089158"
"chapsanlat","chapsanlat-RAISE-F","0","0.965407971408256"
"chapsanlat","chapsanlat-RAISE-B","1","0.034592028591744"
"charcha","charcha-RAISE-F","0","0.978871605304749"
"charcha","charcha-RAISE-B","15","0.0211283946952505"
"charla","charla-RAISE-F","0","0.984756374127347"
"charla","charla-RAISE-B","4","0.015243625872653"
"charrosiye","charrosiye-RAISE-F","2","0.0528485389553881"
"charrosiye","charrosiye-RAISE-B","0","0.947151461044612"
"charshenbe","charshenbe-RAISE-F","4","0.00159625106257665"
"charshenbe","charshenbe-RAISE-B","0","0.998403748937423"
"charwa","charwa-RAISE-F","0","0.991023039661983"
"charwa","charwa-RAISE-B","44","0.00897696033801665"
"chasa","chasa-RAISE-F","0","0.985385306691557"
"chasa","chasa-RAISE-B","1","0.0146146933084432"
"chastota","chastota-RAISE-F","0","0.971272319141263"
"chastota","chastota-RAISE-B","6","0.028727680858737"
"chayna","chayna-RAISE-F","0","0.966906561018828"
"chayna","chayna-RAISE-B","10","0.0330934389811721"
"chaza","chaza-RAISE-F","0","0.977375973235966"
"chaza","chaza-RAISE-B","15","0.0226240267640339"
"chelle","chelle-RAISE-F","3","0.162403975305243"
"chelle","chelle-RAISE-B","1","0.837596024694757"
"chember","chember-RAISE-F","12","0.0145149664910714"
"chember","chember-RAISE-B","0","0.985485033508929"
"chetne","chetne-RAISE-F","19","0.0612700704830654"
"chetne","chetne-RAISE-B","0","0.938729929516935"
"chewre","chewre-RAISE-F","28","0.0138922723879424"
"chewre","chewre-RAISE-B","0","0.986107727612058"
"cheyle","cheyle-RAISE-F","3","0.211495824040857"
"cheyle","cheyle-RAISE-B","0","0.788504175959143"
"chola","chola-RAISE-F","0","0.979016253215008"
"chola","chola-RAISE-B","4","0.0209837467849925"
"chöllesh","chöllesh-RAISE-F","6","0.160874306131429"
"chöllesh","chöllesh-RAISE-B","0","0.839125693868571"
"cholta","cholta-RAISE-F","0","0.981938145310826"
"cholta","cholta-RAISE-B","4","0.0180618546891744"
"chömüle","chömüle-RAISE-F","2","0.132548554990186"
"chömüle","chömüle-RAISE-B","0","0.867451445009814"
"chongqurla","chongqurla-RAISE-F","0","0.961458651329353"
"chongqurla","chongqurla-RAISE-B","3","0.0385413486706474"
"chongqurlash","chongqurlash-RAISE-F","0","0.984872858479994"
"chongqurlash","chongqurlash-RAISE-B","27","0.0151271415200065"
"choqula","choqula-RAISE-F","0","0.906561882652986"
"choqula","choqula-RAISE-B","1","0.0934381173470136"
"chöre","chöre-RAISE-F","34","0.0764137743598937"
"chöre","chöre-RAISE-B","0","0.923586225640106"
"chörüwet","chörüwet-RAISE-F","1","0.0450516071113487"
"chörüwet","chörüwet-RAISE-B","0","0.954948392888651"
"chucha","chucha-RAISE-F","0","0.952806089166376"
"chucha","chucha-RAISE-B","2","0.0471939108336241"
"chüje","chüje-RAISE-F","7","0.068745824108718"
"chüje","chüje-RAISE-B","0","0.931254175891282"
"chümüle","chümüle-RAISE-F","29","0.0632115284194109"
"chümüle","chümüle-RAISE-B","0","0.936788471580589"
"chünche","chünche-RAISE-F","1","0.680487850951203"
"chünche","chünche-RAISE-B","0","0.319512149048797"
"chüprende","chüprende-RAISE-F","9","0.087696350829203"
"chüprende","chüprende-RAISE-B","0","0.912303649170797"
"chüshen","chüshen-RAISE-F","189","0.00718533826139895"
"chüshen","chüshen-RAISE-B","2","0.992814661738601"
"chüshenche","chüshenche-RAISE-F","750","0.183153896104088"
"chüshenche","chüshenche-RAISE-B","0","0.816846103895912"
"chüshkünlesh","chüshkünlesh-RAISE-F","5","0.107782340511541"
"chüshkünlesh","chüshkünlesh-RAISE-B","0","0.892217659488459"
"chuxchila","chuxchila-RAISE-F","0","0.928923678306915"
"chuxchila","chuxchila-RAISE-B","1","0.0710763216930852"
"da'ire","da'ire-RAISE-F","3241","0.0172625552171682"
"da'ire","da'ire-RAISE-B","6","0.982737444782832"
"dacha","dacha-RAISE-F","0","0.985801065370906"
"dacha","dacha-RAISE-B","62","0.0141989346290943"
"dada","dada-RAISE-F","1.00000000000001","0.998654067813919"
"dada","dada-RAISE-B","265","0.00134593218608148"
"dadla","dadla-RAISE-F","0","0.906561882652986"
"dadla","dadla-RAISE-B","1","0.0934381173470136"
"daire","daire-RAISE-F","2176","0.0235170931142437"
"daire","daire-RAISE-B","5","0.976482906885756"
"dalda","dalda-RAISE-F","0","0.982811704044607"
"dalda","dalda-RAISE-B","57","0.017188295955393"
"daldilan","daldilan-RAISE-F","0","0.956098388121112"
"daldilan","daldilan-RAISE-B","1","0.0439016118788884"
"damla","damla-RAISE-F","0","0.906561882652986"
"damla","damla-RAISE-B","1","0.0934381173470136"
"damolla","damolla-RAISE-F","0","0.997390589263595"
"damolla","damolla-RAISE-B","15","0.00260941073640497"
"dangla","dangla-RAISE-F","0","0.939604242922474"
"dangla","dangla-RAISE-B","2","0.0603957570775264"
"daniye","daniye-RAISE-F","3","0.0127479795324459"
"daniye","daniye-RAISE-B","0","0.987252020467554"
"dara","dara-RAISE-F","0","0.984808186509722"
"dara","dara-RAISE-B","60","0.0151918134902777"
"dastixan","dastixan-RAISE-F","0","0.991995273503051"
"dastixan","dastixan-RAISE-B","17","0.00800472649694906"
"dawala","dawala-RAISE-F","0","0.99238317971192"
"dawala","dawala-RAISE-B","43","0.00761682028807997"
"dawamlash","dawamlash-RAISE-F","0","0.996870634809447"
"dawamlash","dawamlash-RAISE-B","16","0.00312936519055329"
"dawan","dawan-RAISE-F","0","0.993971027403562"
"dawan","dawan-RAISE-B","14","0.00602897259643809"
"dawrang","dawrang-RAISE-F","0","0.993218358949859"
"dawrang","dawrang-RAISE-B","3","0.00678164105014079"
"daya","daya-RAISE-F","0","0.965787895396233"
"daya","daya-RAISE-B","7","0.0342121046037672"
"de'wet","de'wet-RAISE-F","1","0.112624425012631"
"de'wet","de'wet-RAISE-B","0","0.887375574987369"
"debdebe","debdebe-RAISE-F","46","0.0714475477000059"
"debdebe","debdebe-RAISE-B","0","0.928552452299994"
"delille","delille-RAISE-F","76","0.0101694664684433"
"delille","delille-RAISE-B","0","0.989830533531557"
"delle","delle-RAISE-F","2","0.125960421667265"
"delle","delle-RAISE-B","0","0.874039578332735"
"démokratiyilesh","démokratiyilesh-RAISE-F","15","0.0890368180220601"
"démokratiyilesh","démokratiyilesh-RAISE-B","1","0.91096318197794"
