"","","","*Unraised","HarmonizeBack","HarmonizeFront"
"","alte-RAISE-F","2","","",""
"","alte-RAISE-B","0","","","1"
"amal","amal-F","0","1","1",""
"","amal-B","0","1","",""
"","amal-RAISE-F","0","","1",""
"","amal-RAISE-B","24","","",""
"ambar","ambar-F","0","1","1",""
"","ambar-B","0","1","",""
"","ambar-RAISE-F","0.999999999999998","","1",""
"","ambar-RAISE-B","142","","",""
"amet","amet-F","0","1","",""
"","amet-B","0","1","","1"
"","amet-RAISE-F","3","","",""
"","amet-RAISE-B","0","","","1"
"amma","amma-F","0","1","1",""
"","amma-B","0","1","",""
"","amma-RAISE-F","0","","1",""
"","amma-RAISE-B","599","","",""
"ammiwilash","ammiwilash-F","0","1","1",""
"","ammiwilash-B","0","1","",""
"","ammiwilash-RAISE-F","0","","1",""
"","ammiwilash-RAISE-B","1","","",""
"ana","ana-F","0","1","1",""
"","ana-B","0","1","",""
"","ana-RAISE-F","2.99999999999991","","1",""
"","ana-RAISE-B","2138","","",""
"anche","anche-F","0","1","",""
"","anche-B","0","1","","1"
"","anche-RAISE-F","2","","",""
"","anche-RAISE-B","0","","","1"
"angla","angla-F","0","1","1",""
"","angla-B","0","1","",""
"","angla-RAISE-F","0","","1",""
"","angla-RAISE-B","487","","",""
"anglat","anglat-F","0","1","1",""
"","anglat-B","0","1","",""
"","anglat-RAISE-F","0","","1",""
"","anglat-RAISE-B","79","","",""
"antanta","antanta-F","0","1","1",""
"","antanta-B","0","1","",""
"","antanta-RAISE-F","0","","1",""
"","antanta-RAISE-B","1","","",""
"anténna","anténna-F","0","1","1",""
"","anténna-B","0","1","",""
"","anténna-RAISE-F","0","","1",""
"","anténna-RAISE-B","1","","",""
"apa","apa-F","0","1","1",""
"","apa-B","0","1","",""
"","apa-RAISE-F","1","","1",""
"","apa-RAISE-B","44","","",""
"apar","apar-F","0","1","1",""
"","apar-B","0","1","",""
"","apar-RAISE-F","0","","1",""
"","apar-RAISE-B","69","","",""
"apet","apet-F","0","1","",""
"","apet-B","0","1","","1"
"","apet-RAISE-F","177","","",""
"","apet-RAISE-B","0","","","1"
"aptomatlash","aptomatlash-F","0","1","1",""
"","aptomatlash-B","0","1","",""
"","aptomatlash-RAISE-F","0","","1",""
"","aptomatlash-RAISE-B","1","","",""
"aqilane","aqilane-F","0","1","",""
"","aqilane-B","0","1","","1"
"","aqilane-RAISE-F","0","","",""
"","aqilane-RAISE-B","3","","","1"
"aral","aral-F","0","1","1",""
"","aral-B","0","1","",""
"","aral-RAISE-F","0","","1",""
"","aral-RAISE-B","284","","",""
"aramsizlan","aramsizlan-F","0","1","1",""
"","aramsizlan-B","0","1","",""
"","aramsizlan-RAISE-F","0","","1",""
"","aramsizlan-RAISE-B","1","","",""
"archa","archa-F","0","1","1",""
"","archa-B","0","1","",""
"","archa-RAISE-F","0","","1",""
"","archa-RAISE-B","24","","",""
"arghamcha","arghamcha-F","0","1","1",""
"","arghamcha-B","0","1","",""
"","arghamcha-RAISE-F","0","","1",""
"","arghamcha-RAISE-B","19","","",""
"arida","arida-F","0","1","1",""
"","arida-B","0","1","",""
"","arida-RAISE-F","0","","1",""
"","arida-RAISE-B","1","","",""
"arila","arila-F","0","1","1",""
"","arila-B","0","1","",""
"","arila-RAISE-F","0","","1",""
"","arila-RAISE-B","4","","",""
"arilash","arilash-F","0","1","1",""
"","arilash-B","0","1","",""
"","arilash-RAISE-F","0","","1",""
"","arilash-RAISE-B","196","","",""
"arilashma","arilashma-F","0","1","1",""
"","arilashma-B","0","1","",""
"","arilashma-RAISE-F","0","","1",""
"","arilashma-RAISE-B","5","","",""
"arishang","arishang-F","0","1","1",""
"","arishang-B","0","1","",""
"","arishang-RAISE-F","0","","1",""
"","arishang-RAISE-B","1","","",""
"arman","arman-F","0","1","1",""
"","arman-B","0","1","",""
"","arman-RAISE-F","0","","1",""
"","arman-RAISE-B","107","","",""
"armiye","armiye-F","0","1","",""
"","armiye-B","0","1","","1"
"","armiye-RAISE-F","252","","",""
"","armiye-RAISE-B","0","","","1"
"arpa","arpa-F","0","1","1",""
"","arpa-B","0","1","",""
"","arpa-RAISE-F","0","","1",""
"","arpa-RAISE-B","3","","",""
"asaret","asaret-F","0","1","",""
"","asaret-B","0","1","","1"
"","asaret-RAISE-F","34","","",""
"","asaret-RAISE-B","0","","","1"
"ashkarila","ashkarila-F","0","1","1",""
"","ashkarila-B","0","1","",""
"","ashkarila-RAISE-F","0","","1",""
"","ashkarila-RAISE-B","280","","",""
"ashna","ashna-F","0","1","1",""
"","ashna-B","0","1","",""
"","ashna-RAISE-F","0","","1",""
"","ashna-RAISE-B","2","","",""
"ashpez","ashpez-F","0","1","",""
"","ashpez-B","0","1","","1"
"","ashpez-RAISE-F","0","","",""
"","ashpez-RAISE-B","1","","","1"
"ashqazan","ashqazan-F","0","1","1",""
"","ashqazan-B","0","1","",""
"","ashqazan-RAISE-F","0","","1",""
"","ashqazan-RAISE-B","7","","",""
"ashxana","ashxana-F","0","1","1",""
"","ashxana-B","0","1","",""
"","ashxana-RAISE-F","0","","1",""
"","ashxana-RAISE-B","271","","",""
"asman","asman-F","0","1","1",""
"","asman-B","0","1","",""
"","asman-RAISE-F","0","","1",""
"","asman-RAISE-B","143","","",""
"aspirantura","aspirantura-F","0","1","1",""
"","aspirantura-B","0","1","",""
"","aspirantura-RAISE-F","0","","1",""
"","aspirantura-RAISE-B","119","","",""
"asra","asra-F","0","1","1",""
"","asra-B","0","1","",""
"","asra-RAISE-F","0","","1",""
"","asra-RAISE-B","10","","",""
"asrash","asrash-F","0","1","1",""
"","asrash-B","0","1","",""
"","asrash-RAISE-F","0","","1",""
"","asrash-RAISE-B","3","","",""
"asta","asta-F","0","1","1",""
"","asta-B","0","1","",""
"","asta-RAISE-F","0","","1",""
"","asta-RAISE-B","15","","",""
"astila","astila-F","0","1","1",""
"","astila-B","0","1","",""
"","astila-RAISE-F","0","","1",""
"","astila-RAISE-B","5","","",""
"ata","ata-F","0","1","1",""
"","ata-B","0","1","",""
"","ata-RAISE-F","0.999999999999999","","1",""
"","ata-RAISE-B","501","","",""
"atla","atla-F","0","1","1",""
"","atla-B","0","1","",""
"","atla-RAISE-F","0","","1",""
"","atla-RAISE-B","17","","",""
"atmosféra","atmosféra-F","0","1","1",""
"","atmosféra-B","0","1","",""
"","atmosféra-RAISE-F","0","","1",""
"","atmosféra-RAISE-B","11","","",""
"aware","aware-F","0","1","",""
"","aware-B","0","1","","1"
"","aware-RAISE-F","2","","",""
"","aware-RAISE-B","1","","","1"
"awatlash","awatlash-F","0","1","1",""
"","awatlash-B","0","1","",""
"","awatlash-RAISE-F","0","","1",""
"","awatlash-RAISE-B","2","","",""
"awayla","awayla-F","0","1","1",""
"","awayla-B","0","1","",""
"","awayla-RAISE-F","0","","1",""
"","awayla-RAISE-B","1","","",""
"awi'atsiye","awi'atsiye-F","0","1","",""
"","awi'atsiye-B","0","1","","1"
"","awi'atsiye-RAISE-F","2","","",""
"","awi'atsiye-RAISE-B","0","","","1"
"awstraliye","awstraliye-F","0","1","",""
"","awstraliye-B","0","1","","1"
"","awstraliye-RAISE-F","110","","",""
"","awstraliye-RAISE-B","0","","","1"
"axiret","axiret-F","0","1","",""
"","axiret-B","0","1","","1"
"","axiret-RAISE-F","2","","",""
"","axiret-RAISE-B","0","","","1"
"axirlash","axirlash-F","0","1","1",""
"","axirlash-B","0","1","",""
"","axirlash-RAISE-F","0","","1",""
"","axirlash-RAISE-B","67","","",""
"axsham","axsham-F","0","1","1",""
"","axsham-B","0","1","",""
"","axsham-RAISE-F","0","","1",""
"","axsham-RAISE-B","3","","",""
"aya","aya-F","0","1","1",""
"","aya-B","0","1","",""
"","aya-RAISE-F","0","","1",""
"","aya-RAISE-B","160","","",""
"aydinglash","aydinglash-F","0","1","1",""
"","aydinglash-B","0","1","",""
"","aydinglash-RAISE-F","0","","1",""
"","aydinglash-RAISE-B","13","","",""
"ayem","ayem-F","0","1","",""
"","ayem-B","0","1","","1"
"","ayem-RAISE-F","1","","",""
"","ayem-RAISE-B","0","","","1"
"ayet","ayet-F","0","1","",""
"","ayet-B","0","1","","1"
"","ayet-RAISE-F","17","","",""
"","ayet-RAISE-B","0","","","1"
"aylan","aylan-F","0","1","1",""
"","aylan-B","0","1","",""
"","aylan-RAISE-F","0","","1",""
"","aylan-RAISE-B","86","","",""
"ayra","ayra-F","0","1","1",""
"","ayra-B","0","1","",""
"","ayra-RAISE-F","0","","1",""
"","ayra-RAISE-B","149","","",""
"ayriwet","ayriwet-F","0","1","",""
"","ayriwet-B","0","1","","1"
"","ayriwet-RAISE-F","3","","",""
"","ayriwet-RAISE-B","0","","","1"
"aywan","aywan-F","0","1","1",""
"","aywan-B","0","1","",""
"","aywan-RAISE-F","0","","1",""
"","aywan-RAISE-B","2","","",""
"aza","aza-F","0","1","1",""
"","aza-B","0","1","",""
"","aza-RAISE-F","0","","1",""
"","aza-RAISE-B","1","","",""
"azabla","azabla-F","0","1","1",""
"","azabla-B","0","1","",""
"","azabla-RAISE-F","0","","1",""
"","azabla-RAISE-B","15","","",""
"azade","azade-F","0","1","",""
"","azade-B","0","1","","1"
"","azade-RAISE-F","18","","",""
"","azade-RAISE-B","0","","","1"
"azat","azat-F","0","1","1",""
"","azat-B","0","1","",""
"","azat-RAISE-F","0","","1",""
"","azat-RAISE-B","1","","",""
"azay","azay-F","0","1","1",""
"","azay-B","0","1","",""
"","azay-RAISE-F","0","","1",""
"","azay-RAISE-B","50","","",""
"bahala","bahala-F","0","1","1",""
"","bahala-B","0","1","",""
"","bahala-RAISE-F","0","","1",""
"","bahala-RAISE-B","61","","",""
"bahane","bahane-F","0","1","",""
"","bahane-B","0","1","","1"
"","bahane-RAISE-F","634","","",""
"","bahane-RAISE-B","47","","","1"
"bajxana","bajxana-F","0","1","1",""
"","bajxana-B","0","1","",""
"","bajxana-RAISE-F","0","","1",""
"","bajxana-RAISE-B","2","","",""
"bala","bala-F","0","1","1",""
"","bala-B","0","1","",""
"","bala-RAISE-F","8.9999999999997","","1",""
"","bala-RAISE-B","9599","","",""
"balayi'apet","balayi'apet-F","0","1","",""
"","balayi'apet-B","0","1","","1"
"","balayi'apet-RAISE-F","2","","",""
"","balayi'apet-RAISE-B","0","","","1"
"balila","balila-F","0","1","1",""
"","balila-B","0","1","",""
"","balila-RAISE-F","0","","1",""
"","balila-RAISE-B","2","","",""
"balixana","balixana-F","0","1","1",""
"","balixana-B","0","1","",""
"","balixana-RAISE-F","0","","1",""
"","balixana-RAISE-B","4","","",""
"bapla","bapla-F","0","1","1",""
"","bapla-B","0","1","",""
"","bapla-RAISE-F","0","","1",""
"","bapla-RAISE-B","1","","",""
"baqimende","baqimende-F","0","1","",""
"","baqimende-B","0","1","","1"
"","baqimende-RAISE-F","1","","",""
"","baqimende-RAISE-B","0","","","1"
"bara","bara-F","0","1","1",""
"","bara-B","0","1","",""
"","bara-RAISE-F","0","","1",""
"","bara-RAISE-B","48","","",""
"barikada","barikada-F","0","1","1",""
"","barikada-B","0","1","",""
"","barikada-RAISE-F","0","","1",""
"","barikada-RAISE-B","1","","",""
"barikalla","barikalla-F","0","1","1",""
"","barikalla-B","0","1","",""
"","barikalla-RAISE-F","0","","1",""
"","barikalla-RAISE-B","1","","",""
"bashla","bashla-F","0","1","1",""
"","bashla-B","0","1","",""
"","bashla-RAISE-F","0","","1",""
"","bashla-RAISE-B","280","","",""
"bashlan","bashlan-F","0","1","1",""
"","bashlan-B","0","1","",""
"","bashlan-RAISE-F","0","","1",""
"","bashlan-RAISE-B","15","","",""
"bashlanma","bashlanma-F","0","1","1",""
"","bashlanma-B","0","1","",""
"","bashlanma-RAISE-F","0","","1",""
"","bashlanma-RAISE-B","18","","",""
"bashlash","bashlash-F","0","1","1",""
"","bashlash-B","0","1","",""
"","bashlash-RAISE-F","0","","1",""
"","bashlash-RAISE-B","29","","",""
"bashqarma","bashqarma-F","0","1","1",""
"","bashqarma-B","0","1","",""
"","bashqarma-RAISE-F","0","","1",""
"","bashqarma-RAISE-B","70","","",""
"bashta","bashta-F","0","1","1",""
"","bashta-B","0","1","",""
"","bashta-RAISE-F","0","","1",""
"","bashta-RAISE-B","1","","",""
"basmixana","basmixana-F","0","1","1",""
"","basmixana-B","0","1","",""
"","basmixana-RAISE-F","0","","1",""
"","basmixana-RAISE-B","17","","",""
"baya","baya-F","0","1","1",""
"","baya-B","0","1","",""
"","baya-RAISE-F","0","","1",""
"","baya-RAISE-B","1","","",""
"bayanat","bayanat-F","0","1","1",""
"","bayanat-B","0","1","",""
"","bayanat-RAISE-F","0","","1",""
"","bayanat-RAISE-B","2","","",""
"bayanname","bayanname-F","0","1","",""
"","bayanname-B","0","1","","1"
"","bayanname-RAISE-F","15","","",""
"","bayanname-RAISE-B","6","","","1"
"bayram","bayram-F","0","1","1",""
"","bayram-B","0","1","",""
"","bayram-RAISE-F","0","","1",""
"","bayram-RAISE-B","216","","",""
"baywechche","baywechche-F","0","1","",""
"","baywechche-B","0","1","","1"
"","baywechche-RAISE-F","33","","",""
"","baywechche-RAISE-B","0","","","1"
"baza","baza-F","0","1","1",""
"","baza-B","0","1","",""
"","baza-RAISE-F","0","","1",""
"","baza-RAISE-B","186","","",""
"bazar","bazar-F","0","1","1",""
"","bazar-B","0","1","",""
"","bazar-RAISE-F","0","","1",""
"","bazar-RAISE-B","1138","","",""
"bedel","bedel-F","0","1","",""
"","bedel-B","0","1","","1"
"","bedel-RAISE-F","665","","",""
"","bedel-RAISE-B","0","","","1"
"beden","beden-F","0","1","",""
"","beden-B","0","1","","1"
"","beden-RAISE-F","166","","",""
"","beden-RAISE-B","1","","","1"
"behre","behre-F","0","1","",""
"","behre-B","0","1","","1"
"","behre-RAISE-F","4","","",""
"","behre-RAISE-B","0","","","1"
"behrilen","behrilen-F","0","1","",""
"","behrilen-B","0","1","","1"
"","behrilen-RAISE-F","6","","",""
"","behrilen-RAISE-B","0","","","1"
"belche","belche-F","0","1","",""
"","belche-B","0","1","","1"
"","belche-RAISE-F","3","","",""
"","belche-RAISE-B","0","","","1"
"bende","bende-F","0","1","",""
"","bende-B","0","1","","1"
"","bende-RAISE-F","121","","",""
"","bende-RAISE-B","0","","","1"
"benze","benze-F","0","1","",""
"","benze-B","0","1","","1"
"","benze-RAISE-F","2","","",""
"","benze-RAISE-B","0","","","1"
"bésharet","bésharet-F","0","1","",""
"","bésharet-B","0","1","","1"
"","bésharet-RAISE-F","1","","",""
"","bésharet-RAISE-B","0","","","1"
"beslesh","beslesh-F","0","1","",""
"","beslesh-B","0","1","","1"
"","beslesh-RAISE-F","9","","",""
"","beslesh-RAISE-B","0","","","1"
"bihude","bihude-F","0","1","",""
"","bihude-B","0","1","","1"
"","bihude-RAISE-F","3","","",""
"","bihude-RAISE-B","1","","","1"
"bimene","bimene-F","0","1","",""
"","bimene-B","0","1","","1"
"","bimene-RAISE-F","84","","",""
"","bimene-RAISE-B","0","","","1"
"birleshme","birleshme-F","0","1","",""
"","birleshme-B","0","1","","1"
"","birleshme-RAISE-F","168","","",""
"","birleshme-RAISE-B","0","","","1"
"birnechche","birnechche-F","0","1","",""
"","birnechche-B","0","1","","1"
"","birnechche-RAISE-F","12","","",""
"","birnechche-RAISE-B","0","","","1"
"birqanche","birqanche-F","0","1","",""
"","birqanche-B","0","1","","1"
"","birqanche-RAISE-F","5","","",""
"","birqanche-RAISE-B","1","","","1"
"bisharet","bisharet-F","0","1","",""
"","bisharet-B","0","1","","1"
"","bisharet-RAISE-F","3","","",""
"","bisharet-RAISE-B","0","","","1"
"bixeste","bixeste-F","0","1","",""
"","bixeste-B","0","1","","1"
"","bixeste-RAISE-F","1","","",""
"","bixeste-RAISE-B","0","","","1"
"bödüne","bödüne-F","0","1","",""
"","bödüne-B","0","1","","1"
"","bödüne-RAISE-F","6","","",""
"","bödüne-RAISE-B","0","","","1"
"boghuzla","boghuzla-F","0","1","1",""
"","boghuzla-B","0","1","",""
"","boghuzla-RAISE-F","0","","1",""
"","boghuzla-RAISE-B","3","","",""
"bola","bola-F","0","1","1",""
"","bola-B","0","1","",""
"","bola-RAISE-F","0","","1",""
"","bola-RAISE-B","1","","",""
"bölme","bölme-F","0","1","",""
"","bölme-B","0","1","","1"
"","bölme-RAISE-F","375","","",""
"","bölme-RAISE-B","1","","","1"
"bölünme","bölünme-F","0","1","",""
"","bölünme-B","0","1","","1"
"","bölünme-RAISE-F","30","","",""
"","bölünme-RAISE-B","0","","","1"
"boluwal","boluwal-F","0","1","1",""
"","boluwal-B","0","1","",""
"","boluwal-RAISE-F","0","","1",""
"","boluwal-RAISE-B","1","","",""
"bomba","bomba-F","0","1","1",""
"","bomba-B","0","1","",""
"","bomba-RAISE-F","0","","1",""
"","bomba-RAISE-B","175","","",""
"bopa","bopa-F","0","1","1",""
"","bopa-B","0","1","",""
"","bopa-RAISE-F","0","","1",""
"","bopa-RAISE-B","2","","",""
"bora","bora-F","0","1","1",""
"","bora-B","0","1","",""
"","bora-RAISE-F","2","","1",""
"","bora-RAISE-B","5","","",""
"boran","boran-F","0","1","1",""
"","boran-B","0","1","",""
"","boran-RAISE-F","0","","1",""
"","boran-RAISE-B","2","","",""
"böre","böre-F","0","1","",""
"","böre-B","0","1","","1"
"","böre-RAISE-F","124","","",""
"","böre-RAISE-B","0","","","1"
"bosha","bosha-F","0","1","1",""
"","bosha-B","0","1","",""
"","bosha-RAISE-F","2","","1",""
"","bosha-RAISE-B","2","","",""
"boshan","boshan-F","0","1","1",""
"","boshan-B","0","1","",""
"","boshan-RAISE-F","0","","1",""
"","boshan-RAISE-B","2","","",""
"boshat","boshat-F","0","1","1",""
"","boshat-B","0","1","",""
"","boshat-RAISE-F","0","","1",""
"","boshat-RAISE-B","21","","",""
"bosniye","bosniye-F","0","1","",""
"","bosniye-B","0","1","","1"
"","bosniye-RAISE-F","3","","",""
"","bosniye-RAISE-B","0","","","1"
"bowa","bowa-F","0","1","1",""
"","bowa-B","0","1","",""
"","bowa-RAISE-F","0","","1",""
"","bowa-RAISE-B","68","","",""
"boway","boway-F","0","1","1",""
"","boway-B","0","1","",""
"","boway-RAISE-F","0","","1",""
"","boway-RAISE-B","1","","",""
"boyla","boyla-F","0","1","1",""
"","boyla-B","0","1","",""
"","boyla-RAISE-F","0","","1",""
"","boyla-RAISE-B","2","","",""
"bozla","bozla-F","0","1","1",""
"","bozla-B","0","1","",""
"","bozla-RAISE-F","0","","1",""
"","bozla-RAISE-B","2","","",""
"braziliye","braziliye-F","0","1","",""
"","braziliye-B","0","1","","1"
"","braziliye-RAISE-F","2","","",""
"","braziliye-RAISE-B","0","","","1"
"britaniye","britaniye-F","0","1","",""
"","britaniye-B","0","1","","1"
"","britaniye-RAISE-F","1","","",""
"","britaniye-RAISE-B","0","","","1"
"bronza","bronza-F","0","1","1",""
"","bronza-B","0","1","",""
"","bronza-RAISE-F","0","","1",""
"","bronza-RAISE-B","1","","",""
"budda","budda-F","0","1","1",""
"","budda-B","0","1","",""
"","budda-RAISE-F","0","","1",""
"","budda-RAISE-B","2","","",""
"bügünche","bügünche-F","0","1","",""
"","bügünche-B","0","1","","1"
"","bügünche-RAISE-F","1","","",""
"","bügünche-RAISE-B","0","","","1"
"bula","bula-F","0","1","1",""
"","bula-B","0","1","",""
"","bula-RAISE-F","0","","1",""
"","bula-RAISE-B","5","","",""
"bulang","bulang-F","0","1","1",""
"","bulang-B","0","1","",""
"","bulang-RAISE-F","0","","1",""
"","bulang-RAISE-B","4","","",""
"bulghariye","bulghariye-F","0","1","",""
"","bulghariye-B","0","1","","1"
"","bulghariye-RAISE-F","5","","",""
"","bulghariye-RAISE-B","0","","","1"
"bunche","bunche-F","0","1","",""
"","bunche-B","0","1","","1"
"","bunche-RAISE-F","212","","",""
"","bunche-RAISE-B","0","","","1"
"bura","bura-F","0","1","1",""
"","bura-B","0","1","",""
"","bura-RAISE-F","0","","1",""
"","bura-RAISE-B","22","","",""
"burader","burader-F","0","1","",""
"","burader-B","0","1","","1"
"","burader-RAISE-F","3","","",""
"","burader-RAISE-B","0","","","1"
"buralma","buralma-F","0","1","1",""
"","buralma-B","0","1","",""
"","buralma-RAISE-F","0","","1",""
"","buralma-RAISE-B","1","","",""
"burma","burma-F","0","1","1",""
"","burma-B","0","1","",""
"","burma-RAISE-F","0","","1",""
"","burma-RAISE-B","2","","",""
"burmila","burmila-F","0","1","1",""
"","burmila-B","0","1","",""
"","burmila-RAISE-F","0","","1",""
"","burmila-RAISE-B","15","","",""
"buruqturma","buruqturma-F","0","1","1",""
"","buruqturma-B","0","1","",""
"","buruqturma-RAISE-F","0","","1",""
"","buruqturma-RAISE-B","2","","",""
"buxara","buxara-F","0","1","1",""
"","buxara-B","0","1","",""
"","buxara-RAISE-F","0","","1",""
"","buxara-RAISE-B","2","","",""
"buyra","buyra-F","0","1","1",""
"","buyra-B","0","1","",""
"","buyra-RAISE-F","0","","1",""
"","buyra-RAISE-B","144","","",""
"byurokratlash","byurokratlash-F","0","1","1",""
"","byurokratlash-B","0","1","",""
"","byurokratlash-RAISE-F","0","","1",""
"","byurokratlash-RAISE-B","1","","",""
"chachra","chachra-F","0","1","1",""
"","chachra-B","0","1","",""
"","chachra-RAISE-F","0","","1",""
"","chachra-RAISE-B","1","","",""
"chama","chama-F","0","1","1",""
"","chama-B","0","1","",""
"","chama-RAISE-F","0","","1",""
"","chama-RAISE-B","37","","",""
"chamda","chamda-F","0","1","1",""
"","chamda-B","0","1","",""
"","chamda-RAISE-F","0","","1",""
"","chamda-RAISE-B","2","","",""
"chamdam","chamdam-F","0","1","1",""
"","chamdam-B","0","1","",""
"","chamdam-RAISE-F","0","","1",""
"","chamdam-RAISE-B","1","","",""
"chamdan","chamdan-F","0","1","1",""
"","chamdan-B","0","1","",""
"","chamdan-RAISE-F","0","","1",""
"","chamdan-RAISE-B","1","","",""
"chana","chana-F","0","1","1",""
"","chana-B","0","1","",""
"","chana-RAISE-F","0","","1",""
"","chana-RAISE-B","13","","",""
"changchile","changchile-F","0","1","",""
