"","","","VAgree","HarmonizeBack","HarmonizeFront"
"barikada","barikada-RAISE-F","0","1","0.835853492011631",""
"","barikada-RAISE-B","1","","","0.164146507988369"
"barikalla","barikalla-RAISE-F","0","1","0.835853492011631",""
"","barikalla-RAISE-B","1","","","0.164146507988369"
"bashla","bashla-RAISE-F","0","1","0.99817644209482",""
"","bashla-RAISE-B","280","","","0.00182355790517996"
"bashlan","bashlan-RAISE-F","0","1","0.993873714328282",""
"","bashlan-RAISE-B","15","","","0.0061262856717178"
"bashlanma","bashlanma-RAISE-F","0","1","0.972314296120863",""
"","bashlanma-RAISE-B","18","","","0.0276857038791373"
"bashlash","bashlash-RAISE-F","0","1","0.989674963085023",""
"","bashlash-RAISE-B","29","","","0.010325036914977"
"bashqarma","bashqarma-RAISE-F","0","1","0.993868327599009",""
"","bashqarma-RAISE-B","70","","","0.006131672400991"
"bashta","bashta-RAISE-F","0","1","0.835853492011631",""
"","bashta-RAISE-B","1","","","0.164146507988369"
"basmixana","basmixana-RAISE-F","0","1","0.993400423696241",""
"","basmixana-RAISE-B","17","","","0.00659957630375851"
"baya","baya-RAISE-F","0","1","0.835853492011631",""
"","baya-RAISE-B","1","","","0.164146507988369"
"bayanat","bayanat-RAISE-F","0","1","0.999301858328878",""
"","bayanat-RAISE-B","2","","","0.000698141671121921"
"bayanname","bayanname-RAISE-F","15","1","0.261040051624308",""
"","bayanname-RAISE-B","6","","","0.738959948375692"
"bayram","bayram-RAISE-F","0","1","0.997849769644629",""
"","bayram-RAISE-B","216","","","0.00215023035537087"
"baywechche","baywechche-RAISE-F","33","","0.21457560556702",""
"","baywechche-RAISE-B","0","1","","0.78542439443298"
"baza","baza-RAISE-F","0","1","0.995986474445877",""
"","baza-RAISE-B","186","","","0.00401352555412282"
"bazar","bazar-RAISE-F","0","1","0.998824867402889",""
"","bazar-RAISE-B","1138","","","0.00117513259711122"
"bedel","bedel-RAISE-F","665","","0.00780999732100437",""
"","bedel-RAISE-B","0","1","","0.992190002678996"
"beden","beden-RAISE-F","166","","0.00833221002593831",""
"","beden-RAISE-B","1","1","","0.991667789974062"
"behre","behre-RAISE-F","4","","0.0147913857469508",""
"","behre-RAISE-B","0","1","","0.985208614253049"
"behrilen","behrilen-RAISE-F","6","","0.127982467464751",""
"","behrilen-RAISE-B","0","1","","0.872017532535249"
"belche","belche-RAISE-F","3","","0.81280810674777",""
"","belche-RAISE-B","0","1","","0.18719189325223"
"bende","bende-RAISE-F","121","","0.0505239550125435",""
"","bende-RAISE-B","0","1","","0.949476044987456"
"benze","benze-RAISE-F","2","","0.310373924070696",""
"","benze-RAISE-B","0","1","","0.689626075929304"
"bésharet","bésharet-RAISE-F","1","1","0.00680291451334407",""
"","bésharet-RAISE-B","0","","","0.993197085486656"
"beslesh","beslesh-RAISE-F","9","","0.116104330057426",""
"","beslesh-RAISE-B","0","1","","0.883895669942574"
"bihude","bihude-RAISE-F","3","1","0.333214395749523",""
"","bihude-RAISE-B","1","","","0.666785604250477"
"bimene","bimene-RAISE-F","84","","0.106972961700495",""
"","bimene-RAISE-B","0","1","","0.893027038299505"
"birleshme","birleshme-RAISE-F","168","","0.0271784456224275",""
"","birleshme-RAISE-B","0","1","","0.972821554377572"
"birnechche","birnechche-RAISE-F","12","","0.486467424576197",""
"","birnechche-RAISE-B","0","1","","0.513532575423803"
"birqanche","birqanche-RAISE-F","5","1","0.133638149177799",""
"","birqanche-RAISE-B","1","","","0.866361850822201"
"bisharet","bisharet-RAISE-F","3","1","0.00866512779681226",""
"","bisharet-RAISE-B","0","","","0.991334872203188"
"bixeste","bixeste-RAISE-F","1","","0.489178423338703",""
"","bixeste-RAISE-B","0","1","","0.510821576661297"
"bödüne","bödüne-RAISE-F","6","","0.0557872577049059",""
"","bödüne-RAISE-B","0","1","","0.944212742295094"
"boghuzla","boghuzla-RAISE-F","0","1","0.94330606109648",""
"","boghuzla-RAISE-B","3","","","0.0566939389035204"
"bola","bola-RAISE-F","0","1","0.997281192606482",""
"","bola-RAISE-B","1","","","0.00271880739351837"
"bölme","bölme-RAISE-F","375","","0.0428274552261591",""
"","bölme-RAISE-B","1","1","","0.957172544773841"
"bölünme","bölünme-RAISE-F","30","","0.14806091782562",""
"","bölünme-RAISE-B","0","1","","0.85193908217438"
"boluwal","boluwal-RAISE-F","0","1","0.991685398215636",""
"","boluwal-RAISE-B","1","","","0.00831460178436405"
"bomba","bomba-RAISE-F","0","1","0.997314387009976",""
"","bomba-RAISE-B","175","","","0.00268561299002357"
"bopa","bopa-RAISE-F","0","1","0.949919504980529",""
"","bopa-RAISE-B","2","","","0.0500804950194706"
"bora","bora-RAISE-F","2","1","0.985767817310239",""
"","bora-RAISE-B","5","","","0.014232182689761"
"boran","boran-RAISE-F","0","1","0.995769254710644",""
"","boran-RAISE-B","2","","","0.00423074528935607"
"böre","böre-RAISE-F","124","","0.0141701978963277",""
"","böre-RAISE-B","0","1","","0.985829802103672"
"bosha","bosha-RAISE-F","2","1","0.966719741853971",""
"","bosha-RAISE-B","2","","","0.0332802581460286"
"boshan","boshan-RAISE-F","0","1","0.938363901532941",""
"","boshan-RAISE-B","2","","","0.0616360984670585"
"boshat","boshat-RAISE-F","0","1","0.986469418407838",""
"","boshat-RAISE-B","21","","","0.0135305815921616"
"bosniye","bosniye-RAISE-F","3","1","0.00765201905425118",""
"","bosniye-RAISE-B","0","","","0.992347980945749"
"bowa","bowa-RAISE-F","0","1","0.997210197473305",""
"","bowa-RAISE-B","68","","","0.00278980252669525"
"boway","boway-RAISE-F","0","1","0.997558529799859",""
"","boway-RAISE-B","1","","","0.00244147020014063"
"boyla","boyla-RAISE-F","0","1","0.972036024978553",""
"","boyla-RAISE-B","2","","","0.0279639750214473"
"bozla","bozla-RAISE-F","0","1","0.930424500861668",""
"","bozla-RAISE-B","2","","","0.0695754991383322"
"braziliye","braziliye-RAISE-F","2","1","0.0133732021206942",""
"","braziliye-RAISE-B","0","","","0.986626797879306"
"britaniye","britaniye-RAISE-F","1","1","0.00942454005856629",""
"","britaniye-RAISE-B","0","","","0.990575459941434"
"bronza","bronza-RAISE-F","0","1","0.993737190013144",""
"","bronza-RAISE-B","1","","","0.00626280998685635"
"budda","budda-RAISE-F","0","1","0.995797195097815",""
"","budda-RAISE-B","2","","","0.00420280490218461"
"bügünche","bügünche-RAISE-F","1","","0.879083767780266",""
"","bügünche-RAISE-B","0","1","","0.120916232219734"
"bula","bula-RAISE-F","0","1","0.992899427138143",""
"","bula-RAISE-B","5","","","0.0071005728618565"
"bulang","bulang-RAISE-F","0","1","0.914880197714589",""
"","bulang-RAISE-B","4","","","0.0851198022854114"
"bulghariye","bulghariye-RAISE-F","5","1","0.00976034685954745",""
"","bulghariye-RAISE-B","0","","","0.990239653140453"
"bunche","bunche-RAISE-F","212","1","0.0719995890491409",""
"","bunche-RAISE-B","0","","","0.928000410950859"
"bura","bura-RAISE-F","0","1","0.986655391114152",""
"","bura-RAISE-B","22","","","0.0133446088858477"
"burader","burader-RAISE-F","3","1","0.00852559178566566",""
"","burader-RAISE-B","0","","","0.991474408214334"
"buralma","buralma-RAISE-F","0","1","0.835853492011631",""
"","buralma-RAISE-B","1","","","0.164146507988369"
"burma","burma-RAISE-F","0","1","0.945450437639338",""
"","burma-RAISE-B","2","","","0.0545495623606618"
"burmila","burmila-RAISE-F","0","1","0.976452325023775",""
"","burmila-RAISE-B","15","","","0.0235476749762248"
"buruqturma","buruqturma-RAISE-F","0","1","0.880924449858283",""
"","buruqturma-RAISE-B","2","","","0.119075550141717"
"buxara","buxara-RAISE-F","0","1","0.994903929927343",""
"","buxara-RAISE-B","2","","","0.00509607007265733"
"buyra","buyra-RAISE-F","0","1","0.990263891656858",""
"","buyra-RAISE-B","144","","","0.0097361083431422"
"byurokratlash","byurokratlash-RAISE-F","0","1","0.880924449858283",""
"","byurokratlash-RAISE-B","1","","","0.119075550141717"
"chachra","chachra-RAISE-F","0","1","0.880924449858283",""
"","chachra-RAISE-B","1","","","0.119075550141717"
"chama","chama-RAISE-F","0","1","0.986082125638168",""
"","chama-RAISE-B","37","","","0.0139178743618318"
"chamda","chamda-RAISE-F","0","1","0.914880197714589",""
"","chamda-RAISE-B","2","","","0.0851198022854114"
"chamdam","chamdam-RAISE-F","0","1","0.986003728715801",""
"","chamdam-RAISE-B","1","","","0.0139962712841993"
"chamdan","chamdan-RAISE-F","0","1","0.939252326769985",""
"","chamdan-RAISE-B","1","","","0.0607476732300152"
"chana","chana-RAISE-F","0","1","0.982764910896494",""
"","chana-RAISE-B","13","","","0.0172350891035059"
"changchile","changchile-RAISE-F","2","1","0.0439781330935988",""
"","changchile-RAISE-B","0","","","0.956021866906401"
"chapan","chapan-RAISE-F","0","1","0.996250193434857",""
"","chapan-RAISE-B","3","","","0.00374980656514279"
"chaparmen","chaparmen-RAISE-F","1","1","0.0246193175552782",""
"","chaparmen-RAISE-B","0","","","0.975380682444722"
"chapla","chapla-RAISE-F","0","1","0.991917713552512",""
"","chapla-RAISE-B","36","","","0.0080822864474881"
"chaplash","chaplash-RAISE-F","0","1","0.97492940215346",""
"","chaplash-RAISE-B","1","","","0.0250705978465396"
"chapsanlat","chapsanlat-RAISE-F","0","1","0.971557270376284",""
"","chapsanlat-RAISE-B","1","","","0.0284427296237164"
"charcha","charcha-RAISE-F","0","1","0.973087899647091",""
"","charcha-RAISE-B","15","","","0.0269121003529089"
"charla","charla-RAISE-F","0","1","0.988944534997372",""
"","charla-RAISE-B","4","","","0.0110554650026279"
"charrosiye","charrosiye-RAISE-F","2","1","0.0303272287683669",""
"","charrosiye-RAISE-B","0","","","0.969672771231633"
"charshenbe","charshenbe-RAISE-F","4","","0.00172769742747933",""
"","charshenbe-RAISE-B","0","1","","0.998272302572521"
"charwa","charwa-RAISE-F","0","1","0.992863088987005",""
"","charwa-RAISE-B","44","","","0.00713691101299474"
"chasa","chasa-RAISE-F","0","1","0.991256885319413",""
"","chasa-RAISE-B","1","","","0.00874311468058708"
"chastota","chastota-RAISE-F","0","1","0.969827607906384",""
"","chastota-RAISE-B","6","","","0.0301723920936161"
"chayna","chayna-RAISE-F","0","1","0.95301853512572",""
"","chayna-RAISE-B","10","","","0.0469814648742799"
"chaza","chaza-RAISE-F","0","1","0.981673433264922",""
"","chaza-RAISE-B","15","","","0.0183265667350784"
"chelle","chelle-RAISE-F","3","","0.133312071408096",""
"","chelle-RAISE-B","1","1","","0.866687928591904"
"chember","chember-RAISE-F","12","","0.0115487709740069",""
"","chember-RAISE-B","0","1","","0.988451229025993"
"chetne","chetne-RAISE-F","19","","0.0502544522592469",""
"","chetne-RAISE-B","0","1","","0.949745547740753"
"chewre","chewre-RAISE-F","28","","0.0125992027780807",""
"","chewre-RAISE-B","0","1","","0.987400797221919"
"cheyle","cheyle-RAISE-F","3","","0.245350344115735",""
"","cheyle-RAISE-B","0","1","","0.754649655884265"
"chola","chola-RAISE-F","0","1","0.977283149328437",""
"","chola-RAISE-B","4","","","0.022716850671563"
"chöllesh","chöllesh-RAISE-F","6","","0.183400489536403",""
"","chöllesh-RAISE-B","0","1","","0.816599510463597"
"cholta","cholta-RAISE-F","0","1","0.989408101709628",""
"","cholta-RAISE-B","4","","","0.010591898290372"
"chömüle","chömüle-RAISE-F","2","","0.0973858055459707",""
"","chömüle-RAISE-B","0","1","","0.902614194454029"
"chongqurla","chongqurla-RAISE-F","0","1","0.94330606109648",""
"","chongqurla-RAISE-B","3","","","0.0566939389035204"
"chongqurlash","chongqurlash-RAISE-F","0","1","0.984617619600935",""
"","chongqurlash-RAISE-B","27","","","0.0153823803990655"
"choqula","choqula-RAISE-F","0","1","0.835853492011631",""
"","choqula-RAISE-B","1","","","0.164146507988369"
"chöre","chöre-RAISE-F","34","","0.075475038554583",""
"","chöre-RAISE-B","0","1","","0.924524961445417"
"chörüwet","chörüwet-RAISE-F","1","","0.0193349675913535",""
"","chörüwet-RAISE-B","0","1","","0.980665032408647"
"chucha","chucha-RAISE-F","0","1","0.941993045114454",""
"","chucha-RAISE-B","2","","","0.0580069548855457"
"chüje","chüje-RAISE-F","7","","0.0560049796535555",""
"","chüje-RAISE-B","0","1","","0.943995020346445"
"chümüle","chümüle-RAISE-F","29","","0.0604521648675907",""
"","chümüle-RAISE-B","0","1","","0.939547835132409"
"chünche","chünche-RAISE-F","1","","0.617814876576862",""
"","chünche-RAISE-B","0","1","","0.382185123423138"
"chüprende","chüprende-RAISE-F","9","","0.0665506778721349",""
"","chüprende-RAISE-B","0","1","","0.933449322127865"
"chüshen","chüshen-RAISE-F","189","","0.00742561450793298",""
"","chüshen-RAISE-B","2","1","","0.992574385492067"
"chüshenche","chüshenche-RAISE-F","750","","0.178191894195121",""
"","chüshenche-RAISE-B","0","1","","0.821808105804879"
"chüshkünlesh","chüshkünlesh-RAISE-F","5","","0.112435496259234",""
"","chüshkünlesh-RAISE-B","0","1","","0.887564503740766"
"chuxchila","chuxchila-RAISE-F","0","1","0.880924449858283",""
"","chuxchila-RAISE-B","1","","","0.119075550141717"
"da'ire","da'ire-RAISE-F","3241","1","0.0162890177235351",""
"","da'ire-RAISE-B","6","","","0.983710982276465"
"dacha","dacha-RAISE-F","0","1","0.985705699424259",""
"","dacha-RAISE-B","62","","","0.0142943005757409"
"dada","dada-RAISE-F","1.00000000000001","1","0.998651582192662",""
"","dada-RAISE-B","265","","","0.00134841780733774"
"dadla","dadla-RAISE-F","0","1","0.835853492011631",""
"","dadla-RAISE-B","1","","","0.164146507988369"
"daire","daire-RAISE-F","2176","1","0.0224486674702783",""
"","daire-RAISE-B","5","","","0.977551332529722"
"dalda","dalda-RAISE-F","0","1","0.979198386921261",""
"","dalda-RAISE-B","57","","","0.0208016130787388"
"daldilan","daldilan-RAISE-F","0","1","0.945085573793123",""
"","daldilan-RAISE-B","1","","","0.0549144262068773"
"damla","damla-RAISE-F","0","1","0.835853492011631",""
"","damla-RAISE-B","1","","","0.164146507988369"
"damolla","damolla-RAISE-F","0","1","0.997486989044048",""
"","damolla-RAISE-B","15","","","0.00251301095595158"
"dangla","dangla-RAISE-F","0","1","0.902005452987767",""
"","dangla-RAISE-B","2","","","0.0979945470122329"
"daniye","daniye-RAISE-F","3","1","0.00833939589050553",""
"","daniye-RAISE-B","0","","","0.991660604109495"
"dara","dara-RAISE-F","0","1","0.984840117358995",""
"","dara-RAISE-B","60","","","0.015159882641005"
"dastixan","dastixan-RAISE-F","0","1","0.993921979194979",""
"","dastixan-RAISE-B","17","","","0.00607802080502118"
"dawala","dawala-RAISE-F","0","1","0.993899313620119",""
"","dawala-RAISE-B","43","","","0.00610068637988082"
"dawamlash","dawamlash-RAISE-F","0","1","0.997153450730334",""
"","dawamlash-RAISE-B","16","","","0.00284654926966632"
"dawan","dawan-RAISE-F","0","1","0.995294824714034",""
