"","","","VAgree","HarmonizeBack","HarmonizeFront"
"alte","alte-RAISE-F","2","1","",""
"","alte-RAISE-B","0","","","1"
"amal","amal-RAISE-F","0","1","1",""
"","amal-RAISE-B","24","","",""
"ambar","ambar-RAISE-F","0.999999999999998","1","1",""
"","ambar-RAISE-B","142","","",""
"amet","amet-RAISE-F","3","1","",""
"","amet-RAISE-B","0","","","1"
"amma","amma-RAISE-F","0","1","1",""
"","amma-RAISE-B","599","","",""
"ammiwilash","ammiwilash-RAISE-F","0","1","1",""
"","ammiwilash-RAISE-B","1","","",""
"ana","ana-RAISE-F","2.99999999999991","1","1",""
"","ana-RAISE-B","2138","","",""
"anche","anche-RAISE-F","2","1","",""
"","anche-RAISE-B","0","","","1"
"angla","angla-RAISE-F","0","1","1",""
"","angla-RAISE-B","487","","",""
"anglat","anglat-RAISE-F","0","1","1",""
"","anglat-RAISE-B","79","","",""
"antanta","antanta-RAISE-F","0","1","1",""
"","antanta-RAISE-B","1","","",""
"anténna","anténna-RAISE-F","0","1","1",""
"","anténna-RAISE-B","1","","",""
"apa","apa-RAISE-F","1","1","1",""
"","apa-RAISE-B","44","","",""
"apar","apar-RAISE-F","0","1","1",""
"","apar-RAISE-B","69","","",""
"apet","apet-RAISE-F","177","1","",""
"","apet-RAISE-B","0","","","1"
"aptomatlash","aptomatlash-RAISE-F","0","1","1",""
"","aptomatlash-RAISE-B","1","","",""
"aqilane","aqilane-RAISE-F","0","1","",""
"","aqilane-RAISE-B","3","","","1"
"aral","aral-RAISE-F","0","1","1",""
"","aral-RAISE-B","284","","",""
"aramsizlan","aramsizlan-RAISE-F","0","1","1",""
"","aramsizlan-RAISE-B","1","","",""
"archa","archa-RAISE-F","0","1","1",""
"","archa-RAISE-B","24","","",""
"arghamcha","arghamcha-RAISE-F","0","1","1",""
"","arghamcha-RAISE-B","19","","",""
"arida","arida-RAISE-F","0","1","1",""
"","arida-RAISE-B","1","","",""
"arila","arila-RAISE-F","0","1","1",""
"","arila-RAISE-B","4","","",""
"arilash","arilash-RAISE-F","0","1","1",""
"","arilash-RAISE-B","196","","",""
"arilashma","arilashma-RAISE-F","0","1","1",""
"","arilashma-RAISE-B","5","","",""
"arishang","arishang-RAISE-F","0","1","1",""
"","arishang-RAISE-B","1","","",""
"arman","arman-RAISE-F","0","1","1",""
"","arman-RAISE-B","107","","",""
"armiye","armiye-RAISE-F","252","1","",""
"","armiye-RAISE-B","0","","","1"
"arpa","arpa-RAISE-F","0","1","1",""
"","arpa-RAISE-B","3","","",""
"asaret","asaret-RAISE-F","34","1","",""
"","asaret-RAISE-B","0","","","1"
"ashkarila","ashkarila-RAISE-F","0","1","1",""
"","ashkarila-RAISE-B","280","","",""
"ashna","ashna-RAISE-F","0","1","1",""
"","ashna-RAISE-B","2","","",""
"ashpez","ashpez-RAISE-F","0","1","",""
"","ashpez-RAISE-B","1","","","1"
"ashqazan","ashqazan-RAISE-F","0","1","1",""
"","ashqazan-RAISE-B","7","","",""
"ashxana","ashxana-RAISE-F","0","1","1",""
"","ashxana-RAISE-B","271","","",""
"asman","asman-RAISE-F","0","1","1",""
"","asman-RAISE-B","143","","",""
"aspirantura","aspirantura-RAISE-F","0","1","1",""
"","aspirantura-RAISE-B","119","","",""
"asra","asra-RAISE-F","0","1","1",""
"","asra-RAISE-B","10","","",""
"asrash","asrash-RAISE-F","0","1","1",""
"","asrash-RAISE-B","3","","",""
"asta","asta-RAISE-F","0","1","1",""
"","asta-RAISE-B","15","","",""
"astila","astila-RAISE-F","0","1","1",""
"","astila-RAISE-B","5","","",""
"ata","ata-RAISE-F","0.999999999999999","1","1",""
"","ata-RAISE-B","501","","",""
"atla","atla-RAISE-F","0","1","1",""
"","atla-RAISE-B","17","","",""
"atmosféra","atmosféra-RAISE-F","0","1","1",""
"","atmosféra-RAISE-B","11","","",""
"aware","aware-RAISE-F","2","1","",""
"","aware-RAISE-B","1","","","1"
"awatlash","awatlash-RAISE-F","0","1","1",""
"","awatlash-RAISE-B","2","","",""
"awayla","awayla-RAISE-F","0","1","1",""
"","awayla-RAISE-B","1","","",""
"awi'atsiye","awi'atsiye-RAISE-F","2","1","",""
"","awi'atsiye-RAISE-B","0","","","1"
"awstraliye","awstraliye-RAISE-F","110","1","",""
"","awstraliye-RAISE-B","0","","","1"
"axiret","axiret-RAISE-F","2","1","",""
"","axiret-RAISE-B","0","","","1"
"axirlash","axirlash-RAISE-F","0","1","1",""
"","axirlash-RAISE-B","67","","",""
"axsham","axsham-RAISE-F","0","1","1",""
"","axsham-RAISE-B","3","","",""
"aya","aya-RAISE-F","0","1","1",""
"","aya-RAISE-B","160","","",""
"aydinglash","aydinglash-RAISE-F","0","1","1",""
"","aydinglash-RAISE-B","13","","",""
"ayem","ayem-RAISE-F","1","1","",""
"","ayem-RAISE-B","0","","","1"
"ayet","ayet-RAISE-F","17","1","",""
"","ayet-RAISE-B","0","","","1"
"aylan","aylan-RAISE-F","0","1","1",""
"","aylan-RAISE-B","86","","",""
"ayra","ayra-RAISE-F","0","1","1",""
"","ayra-RAISE-B","149","","",""
"ayriwet","ayriwet-RAISE-F","3","1","",""
"","ayriwet-RAISE-B","0","","","1"
"aywan","aywan-RAISE-F","0","1","1",""
"","aywan-RAISE-B","2","","",""
"aza","aza-RAISE-F","0","1","1",""
"","aza-RAISE-B","1","","",""
"azabla","azabla-RAISE-F","0","1","1",""
"","azabla-RAISE-B","15","","",""
"azade","azade-RAISE-F","18","1","",""
"","azade-RAISE-B","0","","","1"
"azat","azat-RAISE-F","0","1","1",""
"","azat-RAISE-B","1","","",""
"azay","azay-RAISE-F","0","1","1",""
"","azay-RAISE-B","50","","",""
"bahala","bahala-RAISE-F","0","1","1",""
"","bahala-RAISE-B","61","","",""
"bahane","bahane-RAISE-F","634","1","",""
"","bahane-RAISE-B","47","","","1"
"bajxana","bajxana-RAISE-F","0","1","1",""
"","bajxana-RAISE-B","2","","",""
"bala","bala-RAISE-F","8.9999999999997","1","1",""
"","bala-RAISE-B","9599","","",""
"balayi'apet","balayi'apet-RAISE-F","2","1","",""
"","balayi'apet-RAISE-B","0","","","1"
"balila","balila-RAISE-F","0","1","1",""
"","balila-RAISE-B","2","","",""
"balixana","balixana-RAISE-F","0","1","1",""
"","balixana-RAISE-B","4","","",""
"bapla","bapla-RAISE-F","0","1","1",""
"","bapla-RAISE-B","1","","",""
"baqimende","baqimende-RAISE-F","1","","",""
"","baqimende-RAISE-B","0","1","","1"
"bara","bara-RAISE-F","0","1","1",""
"","bara-RAISE-B","48","","",""
"barikada","barikada-RAISE-F","0","1","1",""
"","barikada-RAISE-B","1","","",""
"barikalla","barikalla-RAISE-F","0","1","1",""
"","barikalla-RAISE-B","1","","",""
"bashla","bashla-RAISE-F","0","1","1",""
"","bashla-RAISE-B","280","","",""
"bashlan","bashlan-RAISE-F","0","1","1",""
"","bashlan-RAISE-B","15","","",""
"bashlanma","bashlanma-RAISE-F","0","1","1",""
"","bashlanma-RAISE-B","18","","",""
"bashlash","bashlash-RAISE-F","0","1","1",""
"","bashlash-RAISE-B","29","","",""
"bashqarma","bashqarma-RAISE-F","0","1","1",""
"","bashqarma-RAISE-B","70","","",""
"bashta","bashta-RAISE-F","0","1","1",""
"","bashta-RAISE-B","1","","",""
"basmixana","basmixana-RAISE-F","0","1","1",""
"","basmixana-RAISE-B","17","","",""
"baya","baya-RAISE-F","0","1","1",""
"","baya-RAISE-B","1","","",""
"bayanat","bayanat-RAISE-F","0","1","1",""
"","bayanat-RAISE-B","2","","",""
"bayanname","bayanname-RAISE-F","15","1","",""
"","bayanname-RAISE-B","6","","","1"
"bayram","bayram-RAISE-F","0","1","1",""
"","bayram-RAISE-B","216","","",""
"baywechche","baywechche-RAISE-F","33","","",""
"","baywechche-RAISE-B","0","1","","1"
"baza","baza-RAISE-F","0","1","1",""
"","baza-RAISE-B","186","","",""
"bazar","bazar-RAISE-F","0","1","1",""
"","bazar-RAISE-B","1138","","",""
"bedel","bedel-RAISE-F","665","","",""
"","bedel-RAISE-B","0","1","","1"
"beden","beden-RAISE-F","166","","",""
"","beden-RAISE-B","1","1","","1"
"behre","behre-RAISE-F","4","","",""
"","behre-RAISE-B","0","1","","1"
"behrilen","behrilen-RAISE-F","6","","",""
"","behrilen-RAISE-B","0","1","","1"
"belche","belche-RAISE-F","3","","",""
"","belche-RAISE-B","0","1","","1"
"bende","bende-RAISE-F","121","","",""
"","bende-RAISE-B","0","1","","1"
"benze","benze-RAISE-F","2","","",""
"","benze-RAISE-B","0","1","","1"
"bésharet","bésharet-RAISE-F","1","1","",""
"","bésharet-RAISE-B","0","","","1"
"beslesh","beslesh-RAISE-F","9","","",""
"","beslesh-RAISE-B","0","1","","1"
"bihude","bihude-RAISE-F","3","1","",""
"","bihude-RAISE-B","1","","","1"
"bimene","bimene-RAISE-F","84","","",""
"","bimene-RAISE-B","0","1","","1"
"birleshme","birleshme-RAISE-F","168","","",""
"","birleshme-RAISE-B","0","1","","1"
"birnechche","birnechche-RAISE-F","12","","",""
"","birnechche-RAISE-B","0","1","","1"
"birqanche","birqanche-RAISE-F","5","1","",""
"","birqanche-RAISE-B","1","","","1"
"bisharet","bisharet-RAISE-F","3","1","",""
"","bisharet-RAISE-B","0","","","1"
"bixeste","bixeste-RAISE-F","1","","",""
"","bixeste-RAISE-B","0","1","","1"
"bödüne","bödüne-RAISE-F","6","","",""
"","bödüne-RAISE-B","0","1","","1"
"boghuzla","boghuzla-RAISE-F","0","1","1",""
"","boghuzla-RAISE-B","3","","",""
"bola","bola-RAISE-F","0","1","1",""
"","bola-RAISE-B","1","","",""
"bölme","bölme-RAISE-F","375","","",""
"","bölme-RAISE-B","1","1","","1"
"bölünme","bölünme-RAISE-F","30","","",""
"","bölünme-RAISE-B","0","1","","1"
"boluwal","boluwal-RAISE-F","0","1","1",""
"","boluwal-RAISE-B","1","","",""
"bomba","bomba-RAISE-F","0","1","1",""
"","bomba-RAISE-B","175","","",""
"bopa","bopa-RAISE-F","0","1","1",""
"","bopa-RAISE-B","2","","",""
"bora","bora-RAISE-F","2","1","1",""
"","bora-RAISE-B","5","","",""
"boran","boran-RAISE-F","0","1","1",""
"","boran-RAISE-B","2","","",""
"böre","böre-RAISE-F","124","","",""
"","böre-RAISE-B","0","1","","1"
"bosha","bosha-RAISE-F","2","1","1",""
"","bosha-RAISE-B","2","","",""
"boshan","boshan-RAISE-F","0","1","1",""
"","boshan-RAISE-B","2","","",""
"boshat","boshat-RAISE-F","0","1","1",""
"","boshat-RAISE-B","21","","",""
"bosniye","bosniye-RAISE-F","3","1","",""
"","bosniye-RAISE-B","0","","","1"
"bowa","bowa-RAISE-F","0","1","1",""
"","bowa-RAISE-B","68","","",""
"boway","boway-RAISE-F","0","1","1",""
"","boway-RAISE-B","1","","",""
"boyla","boyla-RAISE-F","0","1","1",""
"","boyla-RAISE-B","2","","",""
"bozla","bozla-RAISE-F","0","1","1",""
"","bozla-RAISE-B","2","","",""
"braziliye","braziliye-RAISE-F","2","1","",""
"","braziliye-RAISE-B","0","","","1"
"britaniye","britaniye-RAISE-F","1","1","",""
"","britaniye-RAISE-B","0","","","1"
"bronza","bronza-RAISE-F","0","1","1",""
"","bronza-RAISE-B","1","","",""
"budda","budda-RAISE-F","0","1","1",""
"","budda-RAISE-B","2","","",""
"bügünche","bügünche-RAISE-F","1","","",""
"","bügünche-RAISE-B","0","1","","1"
"bula","bula-RAISE-F","0","1","1",""
"","bula-RAISE-B","5","","",""
"bulang","bulang-RAISE-F","0","1","1",""
"","bulang-RAISE-B","4","","",""
"bulghariye","bulghariye-RAISE-F","5","1","",""
"","bulghariye-RAISE-B","0","","","1"
"bunche","bunche-RAISE-F","212","1","",""
"","bunche-RAISE-B","0","","","1"
"bura","bura-RAISE-F","0","1","1",""
"","bura-RAISE-B","22","","",""
"burader","burader-RAISE-F","3","1","",""
"","burader-RAISE-B","0","","","1"
"buralma","buralma-RAISE-F","0","1","1",""
"","buralma-RAISE-B","1","","",""
"burma","burma-RAISE-F","0","1","1",""
"","burma-RAISE-B","2","","",""
"burmila","burmila-RAISE-F","0","1","1",""
"","burmila-RAISE-B","15","","",""
"buruqturma","buruqturma-RAISE-F","0","1","1",""
"","buruqturma-RAISE-B","2","","",""
"buxara","buxara-RAISE-F","0","1","1",""
"","buxara-RAISE-B","2","","",""
"buyra","buyra-RAISE-F","0","1","1",""
"","buyra-RAISE-B","144","","",""
"byurokratlash","byurokratlash-RAISE-F","0","1","1",""
"","byurokratlash-RAISE-B","1","","",""
"chachra","chachra-RAISE-F","0","1","1",""
"","chachra-RAISE-B","1","","",""
"chama","chama-RAISE-F","0","1","1",""
"","chama-RAISE-B","37","","",""
"chamda","chamda-RAISE-F","0","1","1",""
"","chamda-RAISE-B","2","","",""
"chamdam","chamdam-RAISE-F","0","1","1",""
"","chamdam-RAISE-B","1","","",""
"chamdan","chamdan-RAISE-F","0","1","1",""
"","chamdan-RAISE-B","1","","",""
"chana","chana-RAISE-F","0","1","1",""
"","chana-RAISE-B","13","","",""
"changchile","changchile-RAISE-F","2","1","",""
"","changchile-RAISE-B","0","","","1"
"chapan","chapan-RAISE-F","0","1","1",""
"","chapan-RAISE-B","3","","",""
"chaparmen","chaparmen-RAISE-F","1","1","",""
"","chaparmen-RAISE-B","0","","","1"
"chapla","chapla-RAISE-F","0","1","1",""
"","chapla-RAISE-B","36","","",""
"chaplash","chaplash-RAISE-F","0","1","1",""
"","chaplash-RAISE-B","1","","",""
"chapsanlat","chapsanlat-RAISE-F","0","1","1",""
"","chapsanlat-RAISE-B","1","","",""
"charcha","charcha-RAISE-F","0","1","1",""
"","charcha-RAISE-B","15","","",""
"charla","charla-RAISE-F","0","1","1",""
"","charla-RAISE-B","4","","",""
"charrosiye","charrosiye-RAISE-F","2","1","",""
"","charrosiye-RAISE-B","0","","","1"
"charshenbe","charshenbe-RAISE-F","4","","",""
"","charshenbe-RAISE-B","0","1","","1"
"charwa","charwa-RAISE-F","0","1","1",""
"","charwa-RAISE-B","44","","",""
"chasa","chasa-RAISE-F","0","1","1",""
"","chasa-RAISE-B","1","","",""
"chastota","chastota-RAISE-F","0","1","1",""
"","chastota-RAISE-B","6","","",""
"chayna","chayna-RAISE-F","0","1","1",""
"","chayna-RAISE-B","10","","",""
"chaza","chaza-RAISE-F","0","1","1",""
"","chaza-RAISE-B","15","","",""
"chelle","chelle-RAISE-F","3","","",""
"","chelle-RAISE-B","1","1","","1"
"chember","chember-RAISE-F","12","","",""
"","chember-RAISE-B","0","1","","1"
"chetne","chetne-RAISE-F","19","","",""
"","chetne-RAISE-B","0","1","","1"
"chewre","chewre-RAISE-F","28","","",""
"","chewre-RAISE-B","0","1","","1"
"cheyle","cheyle-RAISE-F","3","","",""
"","cheyle-RAISE-B","0","1","","1"
"chola","chola-RAISE-F","0","1","1",""
"","chola-RAISE-B","4","","",""
"chöllesh","chöllesh-RAISE-F","6","","",""
"","chöllesh-RAISE-B","0","1","","1"
"cholta","cholta-RAISE-F","0","1","1",""
"","cholta-RAISE-B","4","","",""
"chömüle","chömüle-RAISE-F","2","","",""
"","chömüle-RAISE-B","0","1","","1"
"chongqurla","chongqurla-RAISE-F","0","1","1",""
"","chongqurla-RAISE-B","3","","",""
"chongqurlash","chongqurlash-RAISE-F","0","1","1",""
"","chongqurlash-RAISE-B","27","","",""
"choqula","choqula-RAISE-F","0","1","1",""
"","choqula-RAISE-B","1","","",""
"chöre","chöre-RAISE-F","34","","",""
"","chöre-RAISE-B","0","1","","1"
"chörüwet","chörüwet-RAISE-F","1","","",""
"","chörüwet-RAISE-B","0","1","","1"
"chucha","chucha-RAISE-F","0","1","1",""
"","chucha-RAISE-B","2","","",""
"chüje","chüje-RAISE-F","7","","",""
"","chüje-RAISE-B","0","1","","1"
"chümüle","chümüle-RAISE-F","29","","",""
"","chümüle-RAISE-B","0","1","","1"
"chünche","chünche-RAISE-F","1","","",""
"","chünche-RAISE-B","0","1","","1"
"chüprende","chüprende-RAISE-F","9","","",""
"","chüprende-RAISE-B","0","1","","1"
"chüshen","chüshen-RAISE-F","189","","",""
"","chüshen-RAISE-B","2","1","","1"
"chüshenche","chüshenche-RAISE-F","750","","",""
"","chüshenche-RAISE-B","0","1","","1"
"chüshkünlesh","chüshkünlesh-RAISE-F","5","","",""
"","chüshkünlesh-RAISE-B","0","1","","1"
"chuxchila","chuxchila-RAISE-F","0","1","1",""
"","chuxchila-RAISE-B","1","","",""
"da'ire","da'ire-RAISE-F","3241","1","",""
"","da'ire-RAISE-B","6","","","1"
"dacha","dacha-RAISE-F","0","1","1",""
"","dacha-RAISE-B","62","","",""
"dada","dada-RAISE-F","1.00000000000001","1","1",""
"","dada-RAISE-B","265","","",""
"dadla","dadla-RAISE-F","0","1","1",""
"","dadla-RAISE-B","1","","",""
"daire","daire-RAISE-F","2176","1","",""
"","daire-RAISE-B","5","","","1"
"dalda","dalda-RAISE-F","0","1","1",""
"","dalda-RAISE-B","57","","",""
"daldilan","daldilan-RAISE-F","0","1","1",""
"","daldilan-RAISE-B","1","","",""
"damla","damla-RAISE-F","0","1","1",""
"","damla-RAISE-B","1","","",""
"damolla","damolla-RAISE-F","0","1","1",""
"","damolla-RAISE-B","15","","",""
"dangla","dangla-RAISE-F","0","1","1",""
"","dangla-RAISE-B","2","","",""
"daniye","daniye-RAISE-F","3","1","",""
"","daniye-RAISE-B","0","","","1"
"dara","dara-RAISE-F","0","1","1",""
"","dara-RAISE-B","60","","",""
"dastixan","dastixan-RAISE-F","0","1","1",""
"","dastixan-RAISE-B","17","","",""
"dawala","dawala-RAISE-F","0","1","1",""
"","dawala-RAISE-B","43","","",""
"dawamlash","dawamlash-RAISE-F","0","1","1",""
"","dawamlash-RAISE-B","16","","",""
"dawan","dawan-RAISE-F","0","1","1",""
"","dawan-RAISE-B","14","","",""
"dawrang","dawrang-RAISE-F","0","1","1",""
"","dawrang-RAISE-B","3","","",""
"daya","daya-RAISE-F","0","1","1",""
"","daya-RAISE-B","7","","",""
"de'wet","de'wet-RAISE-F","1","","",""
"","de'wet-RAISE-B","0","1","","1"
"debdebe","debdebe-RAISE-F","46","","",""
"","debdebe-RAISE-B","0","1","","1"
"delille","delille-RAISE-F","76","","",""
"","delille-RAISE-B","0","1","","1"
"delle","delle-RAISE-F","2","","",""
"","delle-RAISE-B","0","1","","1"
"démokratiyilesh","démokratiyilesh-RAISE-F","15","1","",""
"","démokratiyilesh-RAISE-B","1","","","1"
"démokratlash","démokratlash-RAISE-F","0","1","1",""
"","démokratlash-RAISE-B","4","","",""
"dende","dende-RAISE-F","2","","",""
"","dende-RAISE-B","0","1","","1"
"depne","depne-RAISE-F","3","","",""
"","depne-RAISE-B","0","1","","1"
"depter","depter-RAISE-F","54","","",""
"","depter-RAISE-B","0","1","","1"
"derex","derex-RAISE-F","9","","",""
"","derex-RAISE-B","0","1","","1"
"derije","derije-RAISE-F","10400","","",""
"","derije-RAISE-B","8","1","","1"
"dersxana","dersxana-RAISE-F","1","1","1",""
"","dersxana-RAISE-B","76","","",""
"derwaza","derwaza-RAISE-F","0","1","1",""
"","derwaza-RAISE-B","192","","",""
"desmaye","desmaye-RAISE-F","9","1","",""
"","desmaye-RAISE-B","2","","","1"
"desse","desse-RAISE-F","8","","",""
"","desse-RAISE-B","0","1","","1"
"dewet","dewet-RAISE-F","10","","",""
"","dewet-RAISE-B","0","1","","1"
"dewre","dewre-RAISE-F","3","","",""
"","dewre-RAISE-B","0","1","","1"
"didarlash","didarlash-RAISE-F","0","1","1",""
"","didarlash-RAISE-B","3","","",""
"diktatura","diktatura-RAISE-F","0","1","1",""
"","diktatura-RAISE-B","2","","",""
"diploma","diploma-RAISE-F","0","1","1",""
"","diploma-RAISE-B","10","","",""
"diyanet","diyanet-RAISE-F","3","1","",""
"","diyanet-RAISE-B","0","","","1"
"dola","dola-RAISE-F","0","1","1",""
"","dola-RAISE-B","12","","",""
"dölet","dölet-RAISE-F","1052","","",""
"","dölet-RAISE-B","0","1","","1"
"dollar","dollar-RAISE-F","0","1","1",""
"","dollar-RAISE-B","111","","",""
"dolqunla","dolqunla-RAISE-F","0","1","1",""
"","dolqunla-RAISE-B","1","","",""
"domila","domila-RAISE-F","0","1","1",""
"","domila-RAISE-B","3","","",""
"doppa","doppa-RAISE-F","0","1","1",""
"","doppa-RAISE-B","74","","",""
"dora","dora-RAISE-F","0","1","1",""
"","dora-RAISE-B","336","","",""
"dorixana","dorixana-RAISE-F","0","1","1",""
"","dorixana-RAISE-B","20","","",""
"dostane","dostane-RAISE-F","5","1","",""
"","dostane-RAISE-B","5","","","1"
"dostlash","dostlash-RAISE-F","0","1","1",""
"","dostlash-RAISE-B","2","","",""
"dotey","dotey-RAISE-F","3","1","",""
"","dotey-RAISE-B","0","","","1"
"döwe","döwe-RAISE-F","14","","",""
"","döwe-RAISE-B","0","1","","1"
"döwile","döwile-RAISE-F","1","","",""
"","döwile-RAISE-B","0","1","","1"
"doxturxana","doxturxana-RAISE-F","0","1","1",""
"","doxturxana-RAISE-B","1255","","",""
"doza","doza-RAISE-F","0","1","1",""
"","doza-RAISE-B","1","","",""
"dozax","dozax-RAISE-F","0","1","1",""
"","dozax-RAISE-B","2","","",""
"dukanche","dukanche-RAISE-F","0","1","",""
"","dukanche-RAISE-B","2","","","1"
"dumba","dumba-RAISE-F","4","1","1",""
"","dumba-RAISE-B","0","","",""
"dumbala","dumbala-RAISE-F","0","1","1",""
"","dumbala-RAISE-B","1","","",""
"dümle","dümle-RAISE-F","3","","",""
"","dümle-RAISE-B","0","1","","1"
"dunyawilash","dunyawilash-RAISE-F","0","1","1",""
"","dunyawilash-RAISE-B","2","","",""
"düpülde","düpülde-RAISE-F","3","","",""
"","düpülde-RAISE-B","0","1","","1"
"durdane","durdane-RAISE-F","24","1","",""
"","durdane-RAISE-B","5","","","1"
"düshenbe","düshenbe-RAISE-F","38","","",""
"","düshenbe-RAISE-B","0","1","","1"
"düshmen","düshmen-RAISE-F","76","","",""
"","düshmen-RAISE-B","0","1","","1"
"düshmenlesh","düshmenlesh-RAISE-F","9","","",""
"","düshmenlesh-RAISE-B","0","1","","1"
"duxawa","duxawa-RAISE-F","0","1","1",""
"","duxawa-RAISE-B","3","","",""
"ede","ede-RAISE-F","1","","",""
"","ede-RAISE-B","0","1","","1"
"edeb","edeb-RAISE-F","1","","",""
"","edeb-RAISE-B","0","1","","1"
"egeshme","egeshme-RAISE-F","1","","",""
"","egeshme-RAISE-B","0","1","","1"
"ehde","ehde-RAISE-F","8","","",""
"","ehde-RAISE-B","0","1","","1"
"ehdiname","ehdiname-RAISE-F","344","1","",""
"","ehdiname-RAISE-B","33","","","1"
"ehmed","ehmed-RAISE-F","1","","",""
"","ehmed-RAISE-B","0","1","","1"
"ehmiyet","ehmiyet-RAISE-F","212","","",""
"","ehmiyet-RAISE-B","0","1","","1"
"ejeblen","ejeblen-RAISE-F","2","","",""
"","ejeblen-RAISE-B","0","1","","1"
"ejel","ejel-RAISE-F","2","","",""
"","ejel-RAISE-B","0","1","","1"
"elchixana","elchixana-RAISE-F","3.99999999999999","1","1",""
"","elchixana-RAISE-B","494","","",""
"elem","elem-RAISE-F","3","","",""
"","elem-RAISE-B","0","1","","1"
"ellame","ellame-RAISE-F","0","1","",""
"","ellame-RAISE-B","1","","","1"
"emeliyet","emeliyet-RAISE-F","120","","",""
"","emeliyet-RAISE-B","0","1","","1"
"emeliylesh","emeliylesh-RAISE-F","39","","",""
"","emeliylesh-RAISE-B","3","1","","1"
"emiliyet","emiliyet-RAISE-F","10","","",""
"","emiliyet-RAISE-B","0","1","","1"
"emirzade","emirzade-RAISE-F","1","1","",""
"","emirzade-RAISE-B","0","","","1"
"emle","emle-RAISE-F","3","","",""
"","emle-RAISE-B","0","1","","1"
"en'ene","en'ene-RAISE-F","1040","","",""
"","en'ene-RAISE-B","1","1","","1"
"endishe","endishe-RAISE-F","1026","","",""
"","endishe-RAISE-B","0","1","","1"
"endize","endize-RAISE-F","63","","",""
"","endize-RAISE-B","0","1","","1"
"enggüshter","enggüshter-RAISE-F","1","","",""
"","enggüshter-RAISE-B","0","1","","1"
"ensire","ensire-RAISE-F","151","","",""
"","ensire-RAISE-B","0","1","","1"
"epsane","epsane-RAISE-F","87","1","",""
"","epsane-RAISE-B","7","","","1"
