"Input","Output","Frequency","VAgreeSurface","VAgreeUnderlying","*Unraised","ID"
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-F","0","1","1","",""
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-B","7","","","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-F","0","1","","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-B","0","","1","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-F","5","","","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-B","0","1","1","",""
"abdulla-NON_RAISER","abdulla-NON_RAISER-RAISED-F","0","1","1","","1"
"abdulla-NON_RAISER","abdulla-NON_RAISER-RAISED-B","0","","","","1"
"abdulla-NON_RAISER","abdulla-NON_RAISER-UNRAISED-F","0","1","1","",""
"abdulla-NON_RAISER","abdulla-NON_RAISER-UNRAISED-B","2","","","",""
"abdulla-RAISER","abdulla-RAISER-RAISED-F","0","1","1","","1"
"abdulla-RAISER","abdulla-RAISER-RAISED-B","2","","","","1"
"abdulla-RAISER","abdulla-RAISER-UNRAISED-F","1","1","1","1",""
"abdulla-RAISER","abdulla-RAISER-UNRAISED-B","27","","","1",""
"abdullah-NON_RAISER","abdullah-NON_RAISER-RAISED-F","0","1","1","","1"
"abdullah-NON_RAISER","abdullah-NON_RAISER-RAISED-B","0","","","","1"
"abdullah-NON_RAISER","abdullah-NON_RAISER-UNRAISED-F","0","1","1","",""
"abdullah-NON_RAISER","abdullah-NON_RAISER-UNRAISED-B","4","","","",""
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-RAISED-F","0","1","1","","1"
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-RAISED-B","0","","","","1"
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-UNRAISED-F","0","1","1","",""
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-UNRAISED-B","7","","","",""
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-RAISED-F","0","1","","","1"
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-RAISED-B","0","","1","","1"
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-UNRAISED-F","3","","","",""
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-UNRAISED-B","1","1","1","",""
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-RAISED-F","0","1","1","","1"
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-RAISED-B","0","","","","1"
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-UNRAISED-F","3","1","1","",""
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-UNRAISED-B","12","","","",""
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-RAISED-F","0","1","1","","1"
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-RAISED-B","0","","","","1"
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-UNRAISED-F","0","1","1","",""
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-UNRAISED-B","2","","","",""
"abduweli-NON_RAISER","abduweli-NON_RAISER-RAISED-F","0","1","","","1"
"abduweli-NON_RAISER","abduweli-NON_RAISER-RAISED-B","0","","1","","1"
"abduweli-NON_RAISER","abduweli-NON_RAISER-UNRAISED-F","11","","","",""
"abduweli-NON_RAISER","abduweli-NON_RAISER-UNRAISED-B","0","1","1","",""
"abide-RAISER","abide-RAISER-RAISED-F","72","1","","","1"
"abide-RAISER","abide-RAISER-RAISED-B","0","","1","","1"
"abide-RAISER","abide-RAISER-UNRAISED-F","0","","","1",""
"abide-RAISER","abide-RAISER-UNRAISED-B","0","1","1","1",""
"ablet-NON_RAISER","ablet-NON_RAISER-RAISED-F","0","1","","","1"
"ablet-NON_RAISER","ablet-NON_RAISER-RAISED-B","0","","1","","1"
"ablet-NON_RAISER","ablet-NON_RAISER-UNRAISED-F","3","","","",""
"ablet-NON_RAISER","ablet-NON_RAISER-UNRAISED-B","0","1","1","",""
"abont-NON_RAISER","abont-NON_RAISER-RAISED-F","0","1","1","","1"
"abont-NON_RAISER","abont-NON_RAISER-RAISED-B","0","","","","1"
"abont-NON_RAISER","abont-NON_RAISER-UNRAISED-F","0","1","1","",""
"abont-NON_RAISER","abont-NON_RAISER-UNRAISED-B","40","","","",""
"abroy-NON_RAISER","abroy-NON_RAISER-RAISED-F","0","1","1","","1"
"abroy-NON_RAISER","abroy-NON_RAISER-RAISED-B","0","","","","1"
"abroy-NON_RAISER","abroy-NON_RAISER-UNRAISED-F","0","1","1","",""
"abroy-NON_RAISER","abroy-NON_RAISER-UNRAISED-B","123","","","",""
"abruy-NON_RAISER","abruy-NON_RAISER-RAISED-F","0","1","1","","1"
"abruy-NON_RAISER","abruy-NON_RAISER-RAISED-B","0","","","","1"
"abruy-NON_RAISER","abruy-NON_RAISER-UNRAISED-F","0","1","1","",""
"abruy-NON_RAISER","abruy-NON_RAISER-UNRAISED-B","48","","","",""
"abzas-NON_RAISER","abzas-NON_RAISER-RAISED-F","0","1","1","","1"
"abzas-NON_RAISER","abzas-NON_RAISER-RAISED-B","0","","","","1"
"abzas-NON_RAISER","abzas-NON_RAISER-UNRAISED-F","0","1","1","",""
"abzas-NON_RAISER","abzas-NON_RAISER-UNRAISED-B","16","","","",""
"acha-NON_RAISER","acha-NON_RAISER-RAISED-F","0","1","1","","1"
"acha-NON_RAISER","acha-NON_RAISER-RAISED-B","0","","","","1"
"acha-NON_RAISER","acha-NON_RAISER-UNRAISED-F","0","1","1","",""
"acha-NON_RAISER","acha-NON_RAISER-UNRAISED-B","3","","","",""
"acha-RAISER","acha-RAISER-RAISED-F","0","1","1","","1"
"acha-RAISER","acha-RAISER-RAISED-B","7","","","","1"
"acha-RAISER","acha-RAISER-UNRAISED-F","0","1","1","1",""
"acha-RAISER","acha-RAISER-UNRAISED-B","0","","","1",""
"achal-NON_RAISER","achal-NON_RAISER-RAISED-F","0","1","1","","1"
"achal-NON_RAISER","achal-NON_RAISER-RAISED-B","0","","","","1"
"achal-NON_RAISER","achal-NON_RAISER-UNRAISED-F","0","1","1","",""
"achal-NON_RAISER","achal-NON_RAISER-UNRAISED-B","7","","","",""
"achal-RAISER","achal-RAISER-RAISED-F","0","1","1","","1"
"achal-RAISER","achal-RAISER-RAISED-B","3","","","","1"
"achal-RAISER","achal-RAISER-UNRAISED-F","0","1","1","1",""
"achal-RAISER","achal-RAISER-UNRAISED-B","0","","","1",""
"achquche-RAISER","achquche-RAISER-RAISED-F","2","1","","","1"
"achquche-RAISER","achquche-RAISER-RAISED-B","17","","1","","1"
"achquche-RAISER","achquche-RAISER-UNRAISED-F","0","","","1",""
"achquche-RAISER","achquche-RAISER-UNRAISED-B","0","1","1","1",""
"adalet-NON_RAISER","adalet-NON_RAISER-RAISED-F","0","1","","","1"
"adalet-NON_RAISER","adalet-NON_RAISER-RAISED-B","0","","1","","1"
"adalet-NON_RAISER","adalet-NON_RAISER-UNRAISED-F","326","","","",""
"adalet-NON_RAISER","adalet-NON_RAISER-UNRAISED-B","0","1","1","",""
"adalet-RAISER","adalet-RAISER-RAISED-F","15","1","","","1"
"adalet-RAISER","adalet-RAISER-RAISED-B","0","","1","","1"
"adalet-RAISER","adalet-RAISER-UNRAISED-F","0","","","1",""
"adalet-RAISER","adalet-RAISER-UNRAISED-B","0","1","1","1",""
"adaletperwer-NON_RAISER","adaletperwer-NON_RAISER-RAISED-F","0","","","","1"
"adaletperwer-NON_RAISER","adaletperwer-NON_RAISER-RAISED-B","0","1","1","","1"
"adaletperwer-NON_RAISER","adaletperwer-NON_RAISER-UNRAISED-F","6","","","",""
"adaletperwer-NON_RAISER","adaletperwer-NON_RAISER-UNRAISED-B","0","1","1","",""
"adaletsiz-NON_RAISER","adaletsiz-NON_RAISER-RAISED-F","0","1","","","1"
"adaletsiz-NON_RAISER","adaletsiz-NON_RAISER-RAISED-B","0","","1","","1"
"adaletsiz-NON_RAISER","adaletsiz-NON_RAISER-UNRAISED-F","200","","","",""
"adaletsiz-NON_RAISER","adaletsiz-NON_RAISER-UNRAISED-B","0","1","1","",""
"adash-NON_RAISER","adash-NON_RAISER-RAISED-F","0","1","1","","1"
"adash-NON_RAISER","adash-NON_RAISER-RAISED-B","0","","","","1"
"adash-NON_RAISER","adash-NON_RAISER-UNRAISED-F","0","1","1","",""
"adash-NON_RAISER","adash-NON_RAISER-UNRAISED-B","3","","","",""
"adawet-NON_RAISER","adawet-NON_RAISER-RAISED-F","0","1","","","1"
"adawet-NON_RAISER","adawet-NON_RAISER-RAISED-B","0","","1","","1"
"adawet-NON_RAISER","adawet-NON_RAISER-UNRAISED-F","21","","","",""
"adawet-NON_RAISER","adawet-NON_RAISER-UNRAISED-B","0","1","1","",""
"adawet-RAISER","adawet-RAISER-RAISED-F","1","1","","","1"
"adawet-RAISER","adawet-RAISER-RAISED-B","0","","1","","1"
"adawet-RAISER","adawet-RAISER-UNRAISED-F","0","","","1",""
"adawet-RAISER","adawet-RAISER-UNRAISED-B","0","1","1","1",""
"addiylash-NON_RAISER","addiylash-NON_RAISER-RAISED-F","0","1","1","","1"
"addiylash-NON_RAISER","addiylash-NON_RAISER-RAISED-B","0","","","","1"
"addiylash-NON_RAISER","addiylash-NON_RAISER-UNRAISED-F","0","1","1","",""
"addiylash-NON_RAISER","addiylash-NON_RAISER-UNRAISED-B","1","","","",""
"addiylash-RAISER","addiylash-RAISER-RAISED-F","0","1","1","","1"
"addiylash-RAISER","addiylash-RAISER-RAISED-B","1","","","","1"
"addiylash-RAISER","addiylash-RAISER-UNRAISED-F","0","1","1","1",""
"addiylash-RAISER","addiylash-RAISER-UNRAISED-B","0","","","1",""
"adem-NON_RAISER","adem-NON_RAISER-RAISED-F","0","1","","","1"
"adem-NON_RAISER","adem-NON_RAISER-RAISED-B","0","","1","","1"
"adem-NON_RAISER","adem-NON_RAISER-UNRAISED-F","4939","","","",""
"adem-NON_RAISER","adem-NON_RAISER-UNRAISED-B","7","1","1","",""
"ademiy-NON_RAISER","ademiy-NON_RAISER-RAISED-F","0","1","","","1"
"ademiy-NON_RAISER","ademiy-NON_RAISER-RAISED-B","0","","1","","1"
"ademiy-NON_RAISER","ademiy-NON_RAISER-UNRAISED-F","6","","","",""
"ademiy-NON_RAISER","ademiy-NON_RAISER-UNRAISED-B","0","1","1","",""
"ademleshtür-NON_RAISER","ademleshtür-NON_RAISER-RAISED-F","0","","","","1"
"ademleshtür-NON_RAISER","ademleshtür-NON_RAISER-RAISED-B","0","1","1","","1"
"ademleshtür-NON_RAISER","ademleshtür-NON_RAISER-UNRAISED-F","6","","","",""
"ademleshtür-NON_RAISER","ademleshtür-NON_RAISER-UNRAISED-B","0","1","1","",""
"ademzat-NON_RAISER","ademzat-NON_RAISER-RAISED-F","0","","1","","1"
"ademzat-NON_RAISER","ademzat-NON_RAISER-RAISED-B","0","1","","","1"
"ademzat-NON_RAISER","ademzat-NON_RAISER-UNRAISED-F","0","1","1","",""
"ademzat-NON_RAISER","ademzat-NON_RAISER-UNRAISED-B","9","","","",""
"adet-NON_RAISER","adet-NON_RAISER-RAISED-F","0","1","","","1"
"adet-NON_RAISER","adet-NON_RAISER-RAISED-B","0","","1","","1"
"adet-NON_RAISER","adet-NON_RAISER-UNRAISED-F","1749","","","",""
"adet-NON_RAISER","adet-NON_RAISER-UNRAISED-B","4","1","1","",""
"adet-RAISER","adet-RAISER-RAISED-F","123","1","","","1"
"adet-RAISER","adet-RAISER-RAISED-B","1","","1","","1"
"adet-RAISER","adet-RAISER-UNRAISED-F","0","","","1",""
"adet-RAISER","adet-RAISER-UNRAISED-B","0","1","1","1",""
"adiljan-NON_RAISER","adiljan-NON_RAISER-RAISED-F","0","1","1","","1"
"adiljan-NON_RAISER","adiljan-NON_RAISER-RAISED-B","0","","","","1"
"adiljan-NON_RAISER","adiljan-NON_RAISER-UNRAISED-F","0","1","1","",""
"adiljan-NON_RAISER","adiljan-NON_RAISER-UNRAISED-B","1","","","",""
"afghanistan-NON_RAISER","afghanistan-NON_RAISER-RAISED-F","0","1","1","","1"
"afghanistan-NON_RAISER","afghanistan-NON_RAISER-RAISED-B","0","","","","1"
"afghanistan-NON_RAISER","afghanistan-NON_RAISER-UNRAISED-F","0","1","1","",""
"afghanistan-NON_RAISER","afghanistan-NON_RAISER-UNRAISED-B","393","","","",""
"afrasiyap-NON_RAISER","afrasiyap-NON_RAISER-RAISED-F","0","1","1","","1"
"afrasiyap-NON_RAISER","afrasiyap-NON_RAISER-RAISED-B","0","","","","1"
"afrasiyap-NON_RAISER","afrasiyap-NON_RAISER-UNRAISED-F","0","1","1","",""
"afrasiyap-NON_RAISER","afrasiyap-NON_RAISER-UNRAISED-B","1","","","",""
"agahlandur-NON_RAISER","agahlandur-NON_RAISER-RAISED-F","0","1","1","","1"
"agahlandur-NON_RAISER","agahlandur-NON_RAISER-RAISED-B","0","","","","1"
"agahlandur-NON_RAISER","agahlandur-NON_RAISER-UNRAISED-F","0","1","1","",""
"agahlandur-NON_RAISER","agahlandur-NON_RAISER-UNRAISED-B","113","","","",""
"agahlandurush-NON_RAISER","agahlandurush-NON_RAISER-RAISED-F","0","1","1","","1"
"agahlandurush-NON_RAISER","agahlandurush-NON_RAISER-RAISED-B","0","","","","1"
"agahlandurush-NON_RAISER","agahlandurush-NON_RAISER-UNRAISED-F","0","1","1","",""
"agahlandurush-NON_RAISER","agahlandurush-NON_RAISER-UNRAISED-B","44","","","",""
"aghriqxana-RAISER","aghriqxana-RAISER-RAISED-F","0","1","1","","1"
"aghriqxana-RAISER","aghriqxana-RAISER-RAISED-B","6","","","","1"
"aghriqxana-RAISER","aghriqxana-RAISER-UNRAISED-F","0","1","1","1",""
"aghriqxana-RAISER","aghriqxana-RAISER-UNRAISED-B","425","","","1",""
"agronom-NON_RAISER","agronom-NON_RAISER-RAISED-F","0","1","1","","1"
"agronom-NON_RAISER","agronom-NON_RAISER-RAISED-B","0","","","","1"
"agronom-NON_RAISER","agronom-NON_RAISER-UNRAISED-F","0","1","1","",""
"agronom-NON_RAISER","agronom-NON_RAISER-UNRAISED-B","13","","","",""
"aha-RAISER","aha-RAISER-RAISED-F","1","1","1","","1"
"aha-RAISER","aha-RAISER-RAISED-B","0","","","","1"
"aha-RAISER","aha-RAISER-UNRAISED-F","0","1","1","1",""
"aha-RAISER","aha-RAISER-UNRAISED-B","0","","","1",""
"ahale-RAISER","ahale-RAISER-RAISED-F","1763","1","","","1"
"ahale-RAISER","ahale-RAISER-RAISED-B","489","","1","","1"
"ahale-RAISER","ahale-RAISER-UNRAISED-F","0","","","1",""
"ahale-RAISER","ahale-RAISER-UNRAISED-B","0","1","1","1",""
"ahanet-NON_RAISER","ahanet-NON_RAISER-RAISED-F","0","1","","","1"
"ahanet-NON_RAISER","ahanet-NON_RAISER-RAISED-B","0","","1","","1"
"ahanet-NON_RAISER","ahanet-NON_RAISER-UNRAISED-F","11","","","",""
"ahanet-NON_RAISER","ahanet-NON_RAISER-UNRAISED-B","0","1","1","",""
"ahanet-RAISER","ahanet-RAISER-RAISED-F","4","1","","","1"
"ahanet-RAISER","ahanet-RAISER-RAISED-B","0","","1","","1"
"ahanet-RAISER","ahanet-RAISER-UNRAISED-F","0","","","1",""
"ahanet-RAISER","ahanet-RAISER-UNRAISED-B","0","1","1","1",""
"ahang-NON_RAISER","ahang-NON_RAISER-RAISED-F","0","1","1","","1"
"ahang-NON_RAISER","ahang-NON_RAISER-RAISED-B","0","","","","1"
"ahang-NON_RAISER","ahang-NON_RAISER-UNRAISED-F","0","1","1","",""
"ahang-NON_RAISER","ahang-NON_RAISER-UNRAISED-B","16","","","",""
"ahangdar-NON_RAISER","ahangdar-NON_RAISER-RAISED-F","0","1","1","","1"
"ahangdar-NON_RAISER","ahangdar-NON_RAISER-RAISED-B","0","","","","1"
"ahangdar-NON_RAISER","ahangdar-NON_RAISER-UNRAISED-F","0","1","1","",""
"ahangdar-NON_RAISER","ahangdar-NON_RAISER-UNRAISED-B","4","","","",""
"ajayibat-NON_RAISER","ajayibat-NON_RAISER-RAISED-F","0","1","1","","1"
"ajayibat-NON_RAISER","ajayibat-NON_RAISER-RAISED-B","0","","","","1"
"ajayibat-NON_RAISER","ajayibat-NON_RAISER-UNRAISED-F","0","1","1","",""
"ajayibat-NON_RAISER","ajayibat-NON_RAISER-UNRAISED-B","6","","","",""
"ajizla-RAISER","ajizla-RAISER-RAISED-F","0","1","1","","1"
"ajizla-RAISER","ajizla-RAISER-RAISED-B","9","","","","1"
"ajizla-RAISER","ajizla-RAISER-UNRAISED-F","0","1","1","1",""
"ajizla-RAISER","ajizla-RAISER-UNRAISED-B","0","","","1",""
"ajizlash-NON_RAISER","ajizlash-NON_RAISER-RAISED-F","0","1","1","","1"
"ajizlash-NON_RAISER","ajizlash-NON_RAISER-RAISED-B","0","","","","1"
"ajizlash-NON_RAISER","ajizlash-NON_RAISER-UNRAISED-F","0","1","1","",""
"ajizlash-NON_RAISER","ajizlash-NON_RAISER-UNRAISED-B","10","","","",""
"ajizlash-RAISER","ajizlash-RAISER-RAISED-F","0","1","1","","1"
"ajizlash-RAISER","ajizlash-RAISER-RAISED-B","23","","","","1"
"ajizlash-RAISER","ajizlash-RAISER-UNRAISED-F","0","1","1","1",""
"ajizlash-RAISER","ajizlash-RAISER-UNRAISED-B","0","","","1",""
"ajizlat-NON_RAISER","ajizlat-NON_RAISER-RAISED-F","0","1","1","","1"
"ajizlat-NON_RAISER","ajizlat-NON_RAISER-RAISED-B","0","","","","1"
"ajizlat-NON_RAISER","ajizlat-NON_RAISER-UNRAISED-F","0","1","1","",""
"ajizlat-NON_RAISER","ajizlat-NON_RAISER-UNRAISED-B","6","","","",""
"ajizlat-RAISER","ajizlat-RAISER-RAISED-F","0","1","1","","1"
"ajizlat-RAISER","ajizlat-RAISER-RAISED-B","25","","","","1"
"ajizlat-RAISER","ajizlat-RAISER-UNRAISED-F","0","1","1","1",""
"ajizlat-RAISER","ajizlat-RAISER-UNRAISED-B","0","","","1",""
"ajral-NON_RAISER","ajral-NON_RAISER-RAISED-F","0","1","1","","1"
"ajral-NON_RAISER","ajral-NON_RAISER-RAISED-B","0","","","","1"
"ajral-NON_RAISER","ajral-NON_RAISER-UNRAISED-F","0","1","1","",""
"ajral-NON_RAISER","ajral-NON_RAISER-UNRAISED-B","99","","","",""
"ajrash-NON_RAISER","ajrash-NON_RAISER-RAISED-F","0","1","1","","1"
"ajrash-NON_RAISER","ajrash-NON_RAISER-RAISED-B","0","","","","1"
"ajrash-NON_RAISER","ajrash-NON_RAISER-UNRAISED-F","0","1","1","",""
"ajrash-NON_RAISER","ajrash-NON_RAISER-UNRAISED-B","1","","","",""
"ajrash-RAISER","ajrash-RAISER-RAISED-F","0","1","1","","1"
"ajrash-RAISER","ajrash-RAISER-RAISED-B","8","","","","1"
"ajrash-RAISER","ajrash-RAISER-UNRAISED-F","0","1","1","1",""
"ajrash-RAISER","ajrash-RAISER-UNRAISED-B","0","","","1",""
"ajrat-NON_RAISER","ajrat-NON_RAISER-RAISED-F","0","1","1","","1"
"ajrat-NON_RAISER","ajrat-NON_RAISER-RAISED-B","0","","","","1"
"ajrat-NON_RAISER","ajrat-NON_RAISER-UNRAISED-F","0","1","1","",""
"ajrat-NON_RAISER","ajrat-NON_RAISER-UNRAISED-B","37","","","",""
"ajrat-RAISER","ajrat-RAISER-RAISED-F","0","1","1","","1"
"ajrat-RAISER","ajrat-RAISER-RAISED-B","24","","","","1"
"ajrat-RAISER","ajrat-RAISER-UNRAISED-F","0","1","1","1",""
"ajrat-RAISER","ajrat-RAISER-UNRAISED-B","0","","","1",""
"akadémiye-RAISER","akadémiye-RAISER-RAISED-F","90","1","","","1"
"akadémiye-RAISER","akadémiye-RAISER-RAISED-B","0","","1","","1"
"akadémiye-RAISER","akadémiye-RAISER-UNRAISED-F","145","","","1",""
"akadémiye-RAISER","akadémiye-RAISER-UNRAISED-B","0","1","1","1",""
"akkumulyator-NON_RAISER","akkumulyator-NON_RAISER-RAISED-F","0","1","1","","1"
"akkumulyator-NON_RAISER","akkumulyator-NON_RAISER-RAISED-B","0","","","","1"
"akkumulyator-NON_RAISER","akkumulyator-NON_RAISER-UNRAISED-F","0","1","1","",""
"akkumulyator-NON_RAISER","akkumulyator-NON_RAISER-UNRAISED-B","4","","","",""
"aksi'oma-RAISER","aksi'oma-RAISER-RAISED-F","0","1","1","","1"
"aksi'oma-RAISER","aksi'oma-RAISER-RAISED-B","3","","","","1"
"aksi'oma-RAISER","aksi'oma-RAISER-UNRAISED-F","0","1","1","1",""
"aksi'oma-RAISER","aksi'oma-RAISER-UNRAISED-B","0","","","1",""
"aksioma-RAISER","aksioma-RAISER-RAISED-F","0","1","1","","1"
"aksioma-RAISER","aksioma-RAISER-RAISED-B","1","","","","1"
"aksioma-RAISER","aksioma-RAISER-UNRAISED-F","0","1","1","1",""
"aksioma-RAISER","aksioma-RAISER-UNRAISED-B","0","","","1",""
"ala-RAISER","ala-RAISER-RAISED-F","2","1","1","","1"
"ala-RAISER","ala-RAISER-RAISED-B","21","","","","1"
"ala-RAISER","ala-RAISER-UNRAISED-F","0","1","1","1",""
"ala-RAISER","ala-RAISER-UNRAISED-B","0","","","1",""
"alahide-RAISER","alahide-RAISER-RAISED-F","291","1","","","1"
"alahide-RAISER","alahide-RAISER-RAISED-B","0","","1","","1"
"alahide-RAISER","alahide-RAISER-UNRAISED-F","0","","","1",""
"alahide-RAISER","alahide-RAISER-UNRAISED-B","0","1","1","1",""
"alataw-NON_RAISER","alataw-NON_RAISER-RAISED-F","0","1","1","","1"
"alataw-NON_RAISER","alataw-NON_RAISER-RAISED-B","0","","","","1"
"alataw-NON_RAISER","alataw-NON_RAISER-UNRAISED-F","0","1","1","",""
"alataw-NON_RAISER","alataw-NON_RAISER-UNRAISED-B","3","","","",""
"albaniye-RAISER","albaniye-RAISER-RAISED-F","18","1","","","1"
"albaniye-RAISER","albaniye-RAISER-RAISED-B","0","","1","","1"
"albaniye-RAISER","albaniye-RAISER-UNRAISED-F","0","","","1",""
"albaniye-RAISER","albaniye-RAISER-UNRAISED-B","0","1","1","1",""
"albom-NON_RAISER","albom-NON_RAISER-RAISED-F","0","1","1","","1"
"albom-NON_RAISER","albom-NON_RAISER-RAISED-B","0","","","","1"
"albom-NON_RAISER","albom-NON_RAISER-UNRAISED-F","0","1","1","",""
"albom-NON_RAISER","albom-NON_RAISER-UNRAISED-B","19","","","",""
"album-NON_RAISER","album-NON_RAISER-RAISED-F","0","1","1","","1"
"album-NON_RAISER","album-NON_RAISER-RAISED-B","0","","","","1"
"album-NON_RAISER","album-NON_RAISER-UNRAISED-F","0","1","1","",""
"album-NON_RAISER","album-NON_RAISER-UNRAISED-B","1","","","",""
"alda-NON_RAISER","alda-NON_RAISER-RAISED-F","0","1","1","","1"
"alda-NON_RAISER","alda-NON_RAISER-RAISED-B","0","","","","1"
"alda-NON_RAISER","alda-NON_RAISER-UNRAISED-F","0","1","1","",""
"alda-NON_RAISER","alda-NON_RAISER-UNRAISED-B","23","","","",""
"alda-RAISER","alda-RAISER-RAISED-F","2","1","1","","1"
"alda-RAISER","alda-RAISER-RAISED-B","48","","","","1"
"alda-RAISER","alda-RAISER-UNRAISED-F","0","1","1","1",""
"alda-RAISER","alda-RAISER-UNRAISED-B","0","","","1",""
"aldam-RAISER","aldam-RAISER-RAISED-F","0","1","1","","1"
"aldam-RAISER","aldam-RAISER-RAISED-B","3","","","","1"
"aldam-RAISER","aldam-RAISER-UNRAISED-F","0","1","1","1",""
"aldam-RAISER","aldam-RAISER-UNRAISED-B","0","","","1",""
"aldan-NON_RAISER","aldan-NON_RAISER-RAISED-F","0","1","1","","1"
"aldan-NON_RAISER","aldan-NON_RAISER-RAISED-B","0","","","","1"
"aldan-NON_RAISER","aldan-NON_RAISER-UNRAISED-F","0","1","1","",""
"aldan-NON_RAISER","aldan-NON_RAISER-UNRAISED-B","49","","","",""
"aldan-RAISER","aldan-RAISER-RAISED-F","0","1","1","","1"
"aldan-RAISER","aldan-RAISER-RAISED-B","5","","","","1"
"aldan-RAISER","aldan-RAISER-UNRAISED-F","0","1","1","1",""
"aldan-RAISER","aldan-RAISER-UNRAISED-B","0","","","1",""
"aldira-RAISER","aldira-RAISER-RAISED-F","0","1","1","","1"
"aldira-RAISER","aldira-RAISER-RAISED-B","73","","","","1"
"aldira-RAISER","aldira-RAISER-UNRAISED-F","0","1","1","1",""
"aldira-RAISER","aldira-RAISER-UNRAISED-B","0","","","1",""
"aldirash-NON_RAISER","aldirash-NON_RAISER-RAISED-F","0","1","1","","1"
"aldirash-NON_RAISER","aldirash-NON_RAISER-RAISED-B","0","","","","1"
"aldirash-NON_RAISER","aldirash-NON_RAISER-UNRAISED-F","0","1","1","",""
"aldirash-NON_RAISER","aldirash-NON_RAISER-UNRAISED-B","17","","","",""
"aldur-NON_RAISER","aldur-NON_RAISER-RAISED-F","0","1","1","","1"
"aldur-NON_RAISER","aldur-NON_RAISER-RAISED-B","0","","","","1"
"aldur-NON_RAISER","aldur-NON_RAISER-UNRAISED-F","0","1","1","",""
"aldur-NON_RAISER","aldur-NON_RAISER-UNRAISED-B","180","","","",""
"alemshunas-NON_RAISER","alemshunas-NON_RAISER-RAISED-F","0","1","1","","1"
"alemshunas-NON_RAISER","alemshunas-NON_RAISER-RAISED-B","0","","","","1"
"alemshunas-NON_RAISER","alemshunas-NON_RAISER-UNRAISED-F","0","1","1","",""
